State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars),FIPS Code,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
Alabama,2007,151942.6,4672840,32516,1.0,3557957.1666666665,2180868.5,61.28333333333333,2092450.4166666667,58.81666666666666,88418.08333333333,4.041666666666667
Alabama,2005,136087.5,4569805,29780,1.0,3477390.6666666665,2140116.25,61.541666666666664,2044937.25,58.81666666666666,95179.0,4.458333333333333
Alabama,2003,120241.0,4503491,26700,1.0,3421469.0833333335,2128286.5,62.199999999999996,2001012.75,58.48333333333333,127273.75,5.983333333333333
Alabama,2004,128606.3,4530729,28385,1.0,3444085.1666666665,2138181.0,62.083333333333336,2018713.9166666667,58.60833333333334,119467.08333333333,5.575
Alabama,2002,115007.7,4480089,25671,1.0,3404450.4166666665,2113208.6666666665,62.06666666666666,1988237.0833333333,58.4,124971.58333333333,5.925000000000001
Alabama,2001,111894.1,4467634,25046,1.0,3392313.25,2126942.5,62.699999999999996,2016673.75,59.449999999999996,110268.75,5.183333333333334
Alabama,2000,108002.9,4452173,24258,1.0,3378393.4166666665,2147399.9166666665,63.55833333333334,2047897.1666666667,60.64166666666667,99502.75,4.625
Alabama,1998,99772.9,4404701,22651,1.0,3342046.9166666665,2142689.25,64.11666666666666,2047036.3333333333,61.26666666666667,95652.91666666667,4.458333333333333
Alabama,1997,93851.9,4367935,21487,1.0,3310671.9166666665,2132519.5,64.41666666666667,2027425.6666666667,61.24166666666667,105093.83333333333,4.933333333333333
Alabama,1996,89218.0,4331102,20599,1.0,3284630.25,2091619.3333333333,63.68333333333334,1982776.6666666667,60.35833333333333,108842.66666666667,5.208333333333333
Alabama,1994,80786.7,4260229,18963,1.0,3228880.25,2032946.1666666667,62.958333333333336,1907460.6666666667,59.09166666666667,125485.5,6.175
Alabama,1993,76346.1,4214202,18116,1.0,3194255.25,1996874.0,62.5,1852598.6666666667,57.99166666666667,144275.33333333334,7.241666666666667
Alabama,1992,73004.4,4154014,17574,1.0,3151380.25,1962245.8333333333,62.26666666666667,1814428.25,57.583333333333336,147817.58333333334,7.5249999999999995
Alabama,1991,67982.5,4099156,16585,1.0,3115005.25,1924366.25,61.76666666666667,1783544.25,57.25,140822.0,7.325
Alabama,1990,64234.2,4050055,15860,1.0,3072395.1666666665,1910487.25,62.15833333333333,1780029.6666666667,57.93333333333334,130457.58333333333,6.825
Alabama,1989,60351.0,4030219,14975,1.0,3072833.3333333335,1899193.4166666667,61.800000000000004,1766146.5,57.48333333333333,133046.91666666666,7.0
Alabama,1987,51514.4,4015262,12830,1.0,3035833.3333333335,1867645.25,61.525,1714821.0833333333,56.49166666666667,152824.16666666666,8.183333333333334
Alabama,1986,48777.2,3991569,12220,1.0,3001083.3333333335,1852449.25,61.71666666666667,1675197.1666666667,55.81666666666666,177252.08333333334,9.566666666666666
Alabama,1983,38978.8,3934100,9908,1.0,2911083.3333333335,1756570.4166666667,60.333333333333336,1513603.3333333333,51.98333333333333,242967.08333333334,13.816666666666668
Alabama,1982,36384.6,3925263,9269,1.0,2889583.3333333335,1719743.0,59.5,1479581.0,51.21666666666667,240162.0,13.950000000000001
Alabama,1981,34454.2,3918533,8793,1.0,2864250.0,1686463.0,58.875,1506086.1666666667,52.59166666666667,180376.83333333334,10.691666666666668
Alabama,1979,28150.8,3869444,7275,1.0,2790583.3333333335,1661265.5833333333,59.525,1541183.5833333333,55.23333333333333,120082.0,7.2250000000000005
Alabama,1978,25339.9,3834120,6609,1.0,2745083.3333333335,1621167.4166666667,59.050000000000004,1517318.4166666667,55.28333333333333,103849.0,6.408333333333334
Alabama,1977,22394.9,3782736,5920,1.0,2688916.6666666665,1564380.0,58.18333333333334,1452653.8333333333,54.025,111726.16666666667,7.1499999999999995
Alabama,1976,20324.1,3737204,5438,1.0,2632666.6666666665,1500259.6666666667,57.0,1399782.0833333333,53.166666666666664,100477.58333333333,6.7
Alaska,1980,6285.4,405315,15507,2.0,264000.0,189019.66666666666,71.60000000000001,170962.0,64.76666666666667,18057.666666666668,9.533333333333333
Alaska,2006,27696.2,675302,41013,2.0,490048.5,348776.0,71.16666666666667,325653.3333333333,66.45,23122.666666666668,6.633333333333333
Alaska,1984,10114.9,513704,19690,2.0,335666.6666666667,243256.75,72.47500000000001,219233.41666666666,65.29166666666667,24023.333333333332,9.891666666666667
Alaska,2017,41919.4,741949,56499,2.0,546466.0,360542.9166666667,65.98333333333333,337080.6666666667,61.666666666666664,23462.25,6.508333333333333
Alaska,1985,10962.1,532496,20586,2.0,343250.0,249637.58333333334,72.73333333333333,225061.25,65.575,24576.333333333332,9.841666666666667
Alaska,1995,15937.7,604412,26369,2.0,415593.25,302733.1666666667,72.84166666666667,280522.25,67.49166666666666,22210.916666666668,7.325
Alaska,2021,48207.9,734923,65596,2.0,545825.75,353184.3333333333,64.71666666666667,330492.25,60.550000000000004,22692.083333333332,6.433333333333334
Alaska,1999,18706.6,624779,29941,2.0,432679.4166666667,318256.5,73.55833333333334,297862.0,68.85000000000001,20394.5,6.408333333333334
Alaska,2010,35374.3,714014,49543,2.0,518526.5,361628.5833333333,69.74166666666666,332196.1666666667,64.06666666666666,29432.416666666668,8.133333333333333
Alaska,1988,11059.9,541984,20406,2.0,347000.0,250861.08333333334,72.29166666666667,228953.75,65.97500000000001,21907.333333333332,8.733333333333333
Alaska,1976,4893.3,393115,12447,2.0,239916.66666666666,164279.08333333334,68.46666666666667,151832.83333333334,63.291666666666664,12446.25,7.566666666666666
Alaska,1977,5081.9,397363,12789,2.0,248083.33333333334,173473.41666666666,69.91666666666667,156313.66666666666,63.00833333333333,17159.75,9.891666666666667
Alaska,1978,5235.9,402191,13018,2.0,255000.0,181938.5,71.35000000000001,162600.41666666666,63.775,19338.083333333332,10.633333333333333
Alaska,1979,5546.4,403544,13744,2.0,258166.66666666666,184688.58333333334,71.55,167977.25,65.08333333333333,16711.333333333332,9.058333333333334
Alaska,1981,7150.5,418493,17086,2.0,273750.0,197889.16666666666,72.28333333333333,179696.66666666666,65.64999999999999,18192.5,9.183333333333334
Alaska,1982,8730.1,449606,19417,2.0,292416.6666666667,213395.16666666666,72.97500000000001,191946.5,65.63333333333334,21448.666666666668,10.058333333333334
Alaska,1983,9513.9,488418,19479,2.0,319833.3333333333,230480.58333333334,72.075,207197.16666666666,64.78333333333333,23283.416666666668,10.1
Alaska,1986,11060.5,544269,20322,2.0,349916.6666666667,254762.5,72.80833333333334,226496.66666666666,64.73333333333333,28265.833333333332,11.1
Alaska,1987,10592.9,539310,19642,2.0,345500.0,249645.75,72.25,224341.66666666666,64.95,25304.083333333332,10.141666666666667
Alaska,1989,12101.3,547160,22117,2.0,350000.0,258244.16666666666,73.79166666666667,239880.25,68.54166666666667,18363.916666666668,7.1000000000000005
Alaska,1990,12840.2,553290,23207,2.0,371966.5,270198.5,72.65833333333333,250559.08333333334,67.36666666666666,19639.416666666668,7.258333333333333
Alaska,1991,13409.6,570193,23518,2.0,381590.5,276405.1666666667,72.43333333333334,253330.41666666666,66.39999999999999,23074.75,8.341666666666667
Alaska,1992,14263.5,588736,24227,2.0,394653.6666666667,286332.9166666667,72.55,260994.25,66.14166666666667,25338.666666666668,8.858333333333333
Alaska,1993,14997.6,599432,25020,2.0,403383.5833333333,294227.0833333333,72.93333333333334,271265.25,67.25,22961.833333333332,7.8
Alaska,1994,15499.9,603308,25691,2.0,409113.5,300745.25,73.51666666666667,277837.5,67.90833333333333,22907.75,7.616666666666667
Alaska,1996,16376.6,608569,26910,2.0,420656.5,308593.0833333333,73.36666666666666,285712.0833333333,67.91666666666667,22881.0,7.425
Alaska,1997,17297.5,612968,28219,2.0,423636.4166666667,312324.0,73.70833333333333,290676.25,68.60833333333333,21647.75,6.933333333333334
Alaska,1998,18155.9,619932,29287,2.0,426699.5833333333,315362.6666666667,73.90833333333335,295355.0833333333,69.20833333333333,20007.583333333332,6.325
Alaska,2000,20092.2,627963,31996,2.0,436112.4166666667,319799.5833333333,73.33333333333333,299606.3333333333,68.7,20193.25,6.316666666666666
Alaska,2001,21287.1,633714,33591,2.0,443270.0833333333,321621.6666666667,72.56666666666666,301400.9166666667,68.0,20220.75,6.283333333333334
Alaska,2002,22331.5,642337,34766,2.0,452064.25,327172.6666666667,72.39166666666667,303681.5833333333,67.175,23491.083333333332,7.166666666666667
Alaska,2004,24429.2,659286,37054,2.0,470998.9166666667,337400.6666666667,71.64166666666667,312354.0,66.325,25046.666666666668,7.416666666666667
Alaska,2003,23372.1,648414,36045,2.0,459947.25,332337.5,72.22500000000001,306808.8333333333,66.68333333333334,25528.666666666668,7.683333333333334
Alaska,2005,26019.6,666946,39013,2.0,480221.9166666667,344135.1666666667,71.65,320288.5,66.7,23846.666666666668,6.933333333333334
Alaska,2007,29761.3,680300,43747,2.0,495920.0,350201.4166666667,70.625,328279.25,66.2,21922.166666666668,6.258333333333333
Alaska,2008,32860.7,687455,47800,2.0,501689.4166666667,355365.1666666667,70.84166666666667,332328.4166666667,66.24166666666666,23036.75,6.4750000000000005
Alaska,2009,32995.4,698895,47211,2.0,511902.3333333333,359508.0,70.24166666666666,330858.1666666667,64.625,28649.833333333332,7.983333333333333
Alaska,2011,37870.6,722511,52415,2.0,528559.9166666666,364445.25,68.94166666666666,336210.5,63.60833333333333,28234.75,7.733333333333333
Alaska,2012,38997.1,731106,53340,2.0,534987.25,364276.4166666667,68.075,337915.0,63.15833333333333,26361.416666666668,7.25
Alaska,2013,38565.1,738057,52252,2.0,538481.6666666666,363638.4166666667,67.53333333333333,338208.75,62.791666666666664,25429.666666666668,6.991666666666667
Alaska,2014,40642.1,737638,55098,2.0,540372.9166666666,364337.4166666667,67.41666666666667,339774.9166666667,62.875,24562.5,6.741666666666667
Alaska,2015,41918.6,739127,56714,2.0,542685.0,362328.8333333333,66.75833333333334,339579.1666666667,62.574999999999996,22749.666666666668,6.2749999999999995
Alaska,2016,41285.5,743410,55535,2.0,546589.0833333334,362097.3333333333,66.25,338218.75,61.875,23878.583333333332,6.6000000000000005
Alaska,2018,43522.7,737717,58997,2.0,545700.25,355482.1666666667,65.14999999999999,334012.9166666667,61.19166666666666,21469.25,6.041666666666667
Alaska,2019,44507.6,734823,60569,2.0,544905.0,353193.5833333333,64.80833333333334,333436.25,61.19166666666666,19757.333333333332,5.591666666666666
Alaska,2020,45366.3,732964,61894,2.0,544845.5833333334,346979.9166666667,63.68333333333334,318157.1666666667,58.39166666666667,28822.75,8.308333333333334
Alaska,2022,50349.7,733276,68664,2.0,546834.1666666666,356762.4166666667,65.25,342389.75,62.60833333333333,14372.666666666666,4.0249999999999995
Arizona,1988,56652.9,3535183,16025,4.0,2572083.3333333335,1662907.9166666667,64.64999999999999,1556315.4166666667,60.50833333333333,106592.5,6.408333333333334
Arizona,2010,216223.6,6402024,33774,4.0,4896820.333333333,3096203.1666666665,63.23333333333333,2777583.5833333335,56.725,318619.5833333333,10.299999999999999
Arizona,1999,124922.3,5023823,24866,4.0,3767577.25,2482587.6666666665,65.90833333333333,2371643.0833333335,62.94166666666666,110944.58333333333,4.458333333333333
Arizona,2021,409885.7,7272487,56361,4.0,5755794.0,3531442.25,61.35833333333333,3352555.5,58.24166666666667,178886.75,5.075
Arizona,1995,91807.3,4432499,20712,4.0,3347788.75,2237301.6666666665,66.83333333333333,2118364.8333333335,63.291666666666664,118936.83333333333,5.3
Arizona,1985,44529.1,3183539,13987,4.0,2352666.6666666665,1490783.8333333333,63.375,1396070.4166666667,59.35833333333333,94713.41666666667,6.358333333333333
Arizona,2017,297261.5,6879830,43208,4.0,5341966.916666667,3239838.3333333335,60.64166666666667,3079252.75,57.64166666666667,160585.58333333334,4.9750000000000005
Arizona,1984,39988.8,3067134,13038,4.0,2268833.3333333335,1438765.8333333333,63.416666666666664,1367525.4166666667,60.275,71240.41666666667,4.958333333333333
Arizona,2006,207762.6,6029141,34460,4.0,4630000.666666667,2970340.0,64.14999999999999,2842627.8333333335,61.39166666666667,127712.16666666667,4.308333333333334
Arizona,1980,26489.9,2737774,9676,4.0,1991916.6666666667,1232013.6666666667,61.85833333333333,1150542.0833333333,57.75833333333333,81471.58333333333,6.608333333333333
Arizona,2022,430083.5,7365684,58390,4.0,5859772.166666667,3613856.5833333335,61.666666666666664,3475797.8333333335,59.324999999999996,138058.75,3.8249999999999997
Arizona,2020,374311.8,7186683,52084,4.0,5655335.833333333,3470248.5833333335,61.36666666666667,3198734.25,56.541666666666664,271514.3333333333,7.841666666666666
Arizona,2019,337214.1,7070511,47693,4.0,5537789.0,3431228.3333333335,61.949999999999996,3266061.5,58.98333333333333,165166.83333333334,4.808333333333334
Arizona,2018,315459.0,6969944,45260,4.0,5434496.416666667,3325752.3333333335,61.199999999999996,3165767.1666666665,58.26666666666667,159985.16666666666,4.808333333333334
Arizona,2016,279696.7,6801591,41122,4.0,5384441.5,3253953.6666666665,60.40833333333333,3075608.0833333335,57.125,178345.58333333334,5.483333333333333
Arizona,2015,267474.1,6714328,39836,4.0,5276145.333333333,3185086.6666666665,60.35833333333333,2991341.0,56.69166666666667,193745.66666666666,6.075
Arizona,2014,253711.6,6638196,38220,4.0,5178007.75,3118415.5,60.225,2906136.0,56.11666666666667,212279.5,6.791666666666667
Arizona,2013,242030.3,6563216,36877,4.0,5085867.5,3064990.0833333335,60.26666666666667,2825940.5,55.55833333333334,239049.58333333334,7.816666666666666
Arizona,2012,236431.4,6507351,36333,4.0,5006637.5,3054799.0,61.01666666666667,2799914.75,55.925000000000004,254884.25,8.35
Arizona,2011,227203.3,6446537,35244,4.0,4926325.25,3051762.5833333335,61.96666666666667,2763680.3333333335,56.09166666666667,288082.25,9.433333333333334
Arizona,2009,212283.6,6343154,33467,4.0,4951436.333333333,3129990.1666666665,63.21666666666667,2827397.3333333335,57.10833333333333,302592.8333333333,9.666666666666666
Arizona,2008,223495.1,6280362,35586,4.0,4868326.583333333,3095778.25,63.583333333333336,2916001.4166666665,59.89166666666667,179776.83333333334,5.791666666666667
Arizona,2007,219579.1,6167681,35602,4.0,4760449.916666667,3019157.5833333335,63.416666666666664,2905974.75,61.050000000000004,113182.83333333333,3.75
Arizona,2005,187724.9,5839077,32150,4.0,4465450.75,2862538.25,64.1,2729310.4166666665,61.11666666666667,133227.83333333334,4.666666666666667
Arizona,2003,156408.8,5510364,28384,4.0,4174320.0,2728848.5833333335,65.38333333333334,2570878.0833333335,61.583333333333336,157970.5,5.783333333333334
Arizona,2004,170443.0,5652404,30154,4.0,4304035.75,2787807.8333333335,64.78333333333333,2649103.0,61.541666666666664,138704.83333333334,4.966666666666667
Arizona,2002,147455.2,5396255,27325,4.0,4064603.4166666665,2683524.5,66.02499999999999,2518280.6666666665,61.96666666666667,165243.83333333334,6.141666666666667
Arizona,2001,142097.8,5273477,26946,4.0,3953194.0,2592750.0,65.58333333333333,2470131.1666666665,62.48333333333333,122618.83333333333,4.7250000000000005
Arizona,2000,135573.8,5160586,26271,4.0,3849205.5,2511190.25,65.23333333333333,2411189.25,62.64166666666667,100001.0,3.983333333333333
Arizona,1998,117835.0,4883342,24130,4.0,3680505.1666666665,2389885.3333333335,64.93333333333334,2287795.9166666665,62.15833333333333,102089.41666666667,4.2749999999999995
Arizona,1997,107797.5,4736990,22757,4.0,3584266.3333333335,2305575.1666666665,64.34166666666667,2198669.3333333335,61.34166666666667,106905.83333333333,4.625
Arizona,1996,99450.0,4586940,21681,4.0,3465027.5,2286824.0,65.99166666666666,2161257.5833333335,62.38333333333333,125566.41666666667,5.491666666666667
Arizona,1994,84205.6,4245089,19836,4.0,3214383.1666666665,2104551.6666666665,65.46666666666667,1974485.25,61.40833333333333,130066.41666666667,6.191666666666666
Arizona,1993,76933.2,4065440,18924,4.0,3070311.0833333335,1941535.0833333333,63.23333333333333,1818204.5833333333,59.199999999999996,123330.5,6.366666666666667
Arizona,1992,71608.0,3915740,18287,4.0,2954322.25,1875193.9166666667,63.475,1733236.3333333333,58.65833333333333,141957.58333333334,7.566666666666666
Arizona,1991,67229.6,3788576,17745,4.0,2854416.75,1808831.5833333333,63.36666666666667,1702794.0,59.65833333333333,106037.58333333333,5.858333333333333
Arizona,1990,63797.7,3684097,17317,4.0,2777097.75,1784150.6666666667,64.24166666666666,1690996.5,60.88333333333333,93154.16666666667,5.216666666666667
Arizona,1989,60776.8,3622184,16779,4.0,2618166.6666666665,1711661.5,65.375,1622099.6666666667,61.94166666666666,89561.83333333333,5.241666666666666
Arizona,1987,52270.2,3437103,15208,4.0,2511000.0,1612495.5,64.21666666666667,1507579.5833333333,60.03333333333333,104915.91666666667,6.508333333333333
Arizona,1986,48697.7,3308261,14720,4.0,2427250.0,1569020.4166666667,64.64166666666667,1458428.25,60.1,110592.16666666667,7.05
Arizona,1983,35454.9,2968924,11942,4.0,2190666.6666666665,1389848.75,63.449999999999996,1263455.4166666667,57.666666666666664,126393.33333333333,9.108333333333333
Arizona,1982,32161.4,2889860,11129,4.0,2118000.0,1344486.5833333333,63.475,1210414.1666666667,57.15,134072.41666666666,9.958333333333334
Arizona,1981,30223.3,2810108,10755,4.0,2052500.0,1271433.5,61.949999999999996,1192764.9166666667,58.125,78668.58333333333,6.191666666666666
Arizona,1979,22987.0,2638582,8712,4.0,1908083.3333333333,1154785.5833333333,60.51666666666667,1096215.1666666667,57.46666666666667,58570.416666666664,5.075
Arizona,1978,19559.6,2517852,7768,4.0,1809083.3333333333,1084448.75,59.949999999999996,1019944.5,56.36666666666667,64504.25,5.95
Arizona,1977,16646.8,2427310,6858,4.0,1726250.0,1043300.3333333334,60.44166666666666,955840.4166666666,55.36666666666667,87459.91666666667,8.4
Arizona,1976,14813.2,2347976,6309,4.0,1650916.6666666667,981991.8333333334,59.475,886159.25,53.666666666666664,95832.58333333333,9.758333333333333
Arkansas,1980,17396.3,2288738,7601,5.0,1670166.6666666667,992674.0,59.44166666666666,917850.5833333334,54.949999999999996,74823.41666666667,7.533333333333334
Arkansas,2006,82891.6,2821761,29376,5.0,2142922.3333333335,1346482.0833333333,62.84166666666667,1275727.5,59.541666666666664,70754.58333333333,5.25
Arkansas,1984,24446.5,2319767,10538,5.0,1733750.0,1048317.5833333334,60.46666666666667,958825.8333333334,55.300000000000004,89491.75,8.533333333333333
Arkansas,2017,123825.4,2990801,41402,5.0,2312545.3333333335,1348011.5833333333,58.291666666666664,1297741.3333333333,56.125,50270.25,3.7416666666666667
Arkansas,1985,25982.3,2327046,11165,5.0,1747583.3333333333,1054692.25,60.35833333333333,965212.5,55.23333333333333,89479.75,8.491666666666667
Arkansas,1995,47112.2,2535399,18582,5.0,1912549.5833333333,1222573.0833333333,63.925000000000004,1163153.8333333333,60.80833333333334,59419.25,4.866666666666666
Arkansas,2021,156361.5,3028443,51631,5.0,2361849.3333333335,1339936.4166666667,56.74166666666667,1285529.9166666667,54.43333333333334,54406.5,4.075
Arkansas,1999,57922.1,2651860,21842,5.0,2004231.3333333333,1256935.3333333333,62.70000000000001,1199999.4166666667,59.875,56935.916666666664,4.533333333333333
Arkansas,2010,94127.0,2921561,32218,5.0,2232732.1666666665,1353829.0,60.64166666666667,1247317.5,55.85833333333333,106511.5,7.858333333333333
Arkansas,1988,30489.8,2342655,13015,5.0,1785000.0,1108341.5833333333,62.1,1023045.9166666666,57.31666666666666,85295.66666666667,7.7
Arkansas,1976,11378.9,2168688,5247,5.0,1546583.3333333333,893779.8333333334,57.791666666666664,832171.1666666666,53.80833333333334,61608.666666666664,6.916666666666667
Arkansas,1977,12661.8,2207228,5736,5.0,1581916.6666666667,924689.75,58.46666666666667,864791.8333333334,54.65,59897.916666666664,6.4750000000000005
Arkansas,1978,14668.8,2241019,6546,5.0,1616250.0,948550.5,58.68333333333334,889506.4166666666,55.041666666666664,59044.083333333336,6.2250000000000005
Arkansas,1979,16089.1,2269115,7090,5.0,1646916.6666666667,975865.3333333334,59.25833333333333,914588.9166666666,55.53333333333333,61276.416666666664,6.283333333333334
Arkansas,1981,19703.0,2293204,8592,5.0,1686583.3333333333,1021093.3333333334,60.550000000000004,933220.3333333334,55.34166666666667,87873.0,8.6
Arkansas,1982,20696.5,2294254,9021,5.0,1698000.0,1021356.3333333334,60.14166666666667,924692.9166666666,54.46666666666667,96663.41666666667,9.466666666666667
Arkansas,1983,21946.8,2305766,9518,5.0,1716750.0,1037591.9166666666,60.43333333333334,936928.0833333334,54.574999999999996,100663.83333333333,9.700000000000001
Arkansas,1986,27303.0,2331988,11708,5.0,1761666.6666666667,1072574.4166666667,60.89166666666667,980925.6666666666,55.68333333333334,91648.75,8.541666666666666
Arkansas,1987,28356.9,2342357,12106,5.0,1777333.3333333333,1092676.0833333333,61.48333333333333,1003694.4166666666,56.46666666666667,88981.66666666667,8.141666666666667
Arkansas,1989,32694.8,2346354,13934,5.0,1790916.6666666667,1123391.5,62.725,1044249.4166666666,58.30833333333334,79142.08333333333,7.041666666666667
Arkansas,1990,34456.2,2356586,14621,5.0,1780612.5,1130272.1666666667,63.48333333333333,1052744.3333333333,59.11666666666667,77527.83333333333,6.875
Arkansas,1991,36494.3,2383144,15313,5.0,1803117.8333333333,1136568.4166666667,63.03333333333333,1053431.0,58.425000000000004,83137.41666666667,7.308333333333334
Arkansas,1992,39697.5,2415984,16431,5.0,1824975.75,1159072.0,63.50833333333333,1077989.25,59.074999999999996,81082.75,7.0
Arkansas,1993,41622.8,2456303,16945,5.0,1857667.0,1174327.9166666667,63.21666666666667,1102373.0833333333,59.35,71954.83333333333,6.133333333333333
Arkansas,1994,44252.2,2494019,17743,5.0,1885858.3333333333,1206581.4166666667,63.98333333333333,1140993.1666666667,60.5,65588.25,5.441666666666666
Arkansas,1996,49969.5,2572109,19427,5.0,1938824.1666666667,1237381.0,63.81666666666666,1173454.0833333333,60.51666666666667,63926.916666666664,5.166666666666667
Arkansas,1997,52480.6,2601090,20176,5.0,1963265.4166666667,1239730.0833333333,63.15833333333333,1176261.5,59.90833333333333,63468.583333333336,5.108333333333333
Arkansas,1998,55686.3,2626289,21203,5.0,1981706.75,1245195.25,62.824999999999996,1182389.6666666667,59.666666666666664,62805.583333333336,5.05
Arkansas,2000,60886.2,2678588,22731,5.0,2026043.5833333333,1260795.4166666667,62.24166666666667,1208040.1666666667,59.61666666666667,52755.25,4.175
Arkansas,2001,64168.6,2691571,23841,5.0,2039773.5,1261124.5,61.824999999999996,1201103.0,58.89166666666667,60021.5,4.758333333333334
Arkansas,2002,65698.8,2705927,24280,5.0,2053078.5833333333,1277111.8333333333,62.199999999999996,1209163.4166666667,58.916666666666664,67948.41666666667,5.333333333333333
Arkansas,2004,74308.7,2749686,27024,5.0,2087586.9166666667,1302127.25,62.36666666666667,1229482.0,58.89166666666667,72645.25,5.583333333333333
Arkansas,2003,69656.4,2724816,25564,5.0,2068569.5,1282379.6666666667,62.00833333333333,1208365.0,58.416666666666664,74014.66666666667,5.758333333333333
Arkansas,2005,77990.4,2781097,28043,5.0,2112848.0833333335,1333986.8333333333,63.13333333333333,1263888.0833333333,59.81666666666666,70098.75,5.258333333333334
Arkansas,2007,88410.7,2848650,31036,5.0,2166218.8333333335,1350784.4166666667,62.35833333333334,1278038.0,58.99166666666667,72746.41666666667,5.391666666666667
Arkansas,2008,92435.6,2874554,32157,5.0,2186303.5,1357944.0,62.11666666666667,1283968.25,58.725,73975.75,5.441666666666666
Arkansas,2009,90992.3,2896843,31411,5.0,2203565.75,1353276.9166666667,61.40833333333333,1248756.3333333333,56.666666666666664,104520.58333333333,7.7250000000000005
Arkansas,2011,100449.5,2938833,34180,5.0,2254423.0833333335,1357541.4166666667,60.225,1250285.5833333333,55.46666666666667,107255.83333333333,7.908333333333334
Arkansas,2012,107007.4,2948887,36287,5.0,2266989.9166666665,1350276.6666666667,59.550000000000004,1252173.4166666667,55.25,98103.25,7.266666666666667
