State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars),Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,Commodity,ACRES HARVESTED,"PRODUCTION, MEASURED IN $",YIELD,January-December Average Temperature (Units Degrees Fahrenheit),January-December Cooling Degree Days (Units Fahrenheit Degree-Days),January-December Heating Degree Days (Units Fahrenheit Degree-Days),January-December Maximum Temperature (Units Degrees Fahrenheit),January-December Minimum Temperature (Units Degrees Fahrenheit),August Palmer Drought Severity Index (PDSI),August Palmer Hydrological Drought Index (PHDI),August Palmer Modified Drought Index (PMDI),January-December Palmer Z-Index,January-December Precipitation (Units Inches),Allsky_Sfc_Par_Tot,Allsky_Sfc_Sw_Diff,Allsky_Sfc_Sw_Dni,Allsky_Sfc_Sw_Dwn,Allsky_Sfc_Uva,Allsky_Sfc_Uvb,Allsky_Sfc_Uv_Index,Allsky_Srf_Alb,Cloud_Amt,Clrsky_Sfc_Par_Tot,Clrsky_Sfc_Sw_Dwn,Gwetprof,Gwetroot,Gwettop,Ps,Qv2M,Rh2M,T2Mdew,T2Mwet,Toa_Sw_Dwn,Ts,Wd10M,Wd2M,Ws10M,Ws2M
alabama,1999,103204.1,4430141,23296,3361671.9166666665,2150126.5,63.958333333333336,2048691.75,60.94166666666666,101434.75,4.7250000000000005,COTTON,561000.0,143400000.0,535.0,64.1,1959.0,2458.0,76.4,51.9,-1.0,-1.0,-1.0,-0.59,49.01,,,,16.93,,,,0.09,50.2,,21.27,0.59,0.6,0.62,99.47,9.64,73.06,11.58,14.48,30.84,17.23,278.62,262.75,1.99,0.26
alabama,2021,252791.9,5050380,50054,3989929.4166666665,2259433.3333333335,56.63333333333333,2183166.5833333335,54.71666666666667,76266.75,3.3666666666666667,WHEAT,110000.0,9130000.0,83.0,64.2,1889.0,2396.0,75.1,53.3,4.43,4.43,4.43,1.04,65.16,86.86,6.48,16.59,16.41,11.3,0.26,,0.12,56.3,111.34,21.32,0.58,0.59,0.62,99.47,10.44,77.56,12.9,15.19,30.84,17.38,195.88,203.88,1.95,0.25
alabama,2021,252791.9,5050380,50054,3989929.4166666665,2259433.3333333335,56.63333333333333,2183166.5833333335,54.71666666666667,76266.75,3.3666666666666667,CORN,320000.0,308266000.0,163.0,64.2,1889.0,2396.0,75.1,53.3,4.43,4.43,4.43,1.04,65.16,86.86,6.48,16.59,16.41,11.3,0.26,,0.12,56.3,111.34,21.32,0.58,0.59,0.62,99.47,10.44,77.56,12.9,15.19,30.84,17.38,195.88,203.88,1.95,0.25
alabama,2021,252791.9,5050380,50054,3989929.4166666665,2259433.3333333335,56.63333333333333,2183166.5833333335,54.71666666666667,76266.75,3.3666666666666667,COTTON,401000.0,307022000.0,826.0,64.2,1889.0,2396.0,75.1,53.3,4.43,4.43,4.43,1.04,65.16,86.86,6.48,16.59,16.41,11.3,0.26,,0.12,56.3,111.34,21.32,0.58,0.59,0.62,99.47,10.44,77.56,12.9,15.19,30.84,17.38,195.88,203.88,1.95,0.25
alabama,1995,85393.8,4296800,19874,3253838.5833333335,2065909.5833333333,63.49166666666667,1945243.5833333333,59.775,120666.0,5.833333333333333,WHEAT,80000.0,2880000.0,36.0,63.0,1922.0,2871.0,74.6,51.5,-1.53,-1.53,-1.53,0.25,59.57,,,,16.19,,,,0.09,59.83,,21.12,0.64,0.65,0.67,99.38,9.89,76.31,11.9,14.4,30.82,16.84,47.19,50.12,2.02,0.24
alabama,1995,85393.8,4296800,19874,3253838.5833333335,2065909.5833333333,63.49166666666667,1945243.5833333333,59.775,120666.0,5.833333333333333,POTATOES,8100.0,13881000.0,167.0,63.0,1922.0,2871.0,74.6,51.5,-1.53,-1.53,-1.53,0.25,59.57,,,,16.19,,,,0.09,59.83,,21.12,0.64,0.65,0.67,99.38,9.89,76.31,11.9,14.4,30.82,16.84,47.19,50.12,2.02,0.24
alabama,1995,85393.8,4296800,19874,3253838.5833333335,2065909.5833333333,63.49166666666667,1945243.5833333333,59.775,120666.0,5.833333333333333,CORN,220000.0,57750000.0,75.0,63.0,1922.0,2871.0,74.6,51.5,-1.53,-1.53,-1.53,0.25,59.57,,,,16.19,,,,0.09,59.83,,21.12,0.64,0.65,0.67,99.38,9.89,76.31,11.9,14.4,30.82,16.84,47.19,50.12,2.02,0.24
alabama,1995,85393.8,4296800,19874,3253838.5833333335,2065909.5833333333,63.49166666666667,1945243.5833333333,59.775,120666.0,5.833333333333333,COTTON,578000.0,172161000.0,409.0,63.0,1922.0,2871.0,74.6,51.5,-1.53,-1.53,-1.53,0.25,59.57,,,,16.19,,,,0.09,59.83,,21.12,0.64,0.65,0.67,99.38,9.89,76.31,11.9,14.4,30.82,16.84,47.19,50.12,2.02,0.24
alabama,1985,46085.8,3972520,11601,2969083.3333333335,1804849.25,60.791666666666664,1632576.8333333333,54.975,172272.41666666666,9.541666666666666,WHEAT,400000.0,12800000.0,32.0,62.8,1832.0,2900.0,74.1,51.5,0.96,0.96,0.96,-0.09,51.31,,,,15.76,,,,0.12,61.45,,20.86,0.59,0.59,0.62,99.5,9.89,76.5,11.76,14.19,30.82,16.58,144.19,165.06,1.95,0.24
alabama,1985,46085.8,3972520,11601,2969083.3333333335,1804849.25,60.791666666666664,1632576.8333333333,54.975,172272.41666666666,9.541666666666666,POTATOES,13100.0,12254000.0,172.0,62.8,1832.0,2900.0,74.1,51.5,0.96,0.96,0.96,-0.09,51.31,,,,15.76,,,,0.12,61.45,,20.86,0.59,0.59,0.62,99.5,9.89,76.5,11.76,14.19,30.82,16.58,144.19,165.06,1.95,0.24
alabama,1985,46085.8,3972520,11601,2969083.3333333335,1804849.25,60.791666666666664,1632576.8333333333,54.975,172272.41666666666,9.541666666666666,CORN,325000.0,56063000.0,75.0,62.8,1832.0,2900.0,74.1,51.5,0.96,0.96,0.96,-0.09,51.31,,,,15.76,,,,0.12,61.45,,20.86,0.59,0.59,0.62,99.5,9.89,76.5,11.76,14.19,30.82,16.58,144.19,165.06,1.95,0.24
alabama,1985,46085.8,3972520,11601,2969083.3333333335,1804849.25,60.791666666666664,1632576.8333333333,54.975,172272.41666666666,9.541666666666666,COTTON,329000.0,142049000.0,795.0,62.8,1832.0,2900.0,74.1,51.5,0.96,0.96,0.96,-0.09,51.31,,,,15.76,,,,0.12,61.45,,20.86,0.59,0.59,0.62,99.5,9.89,76.5,11.76,14.19,30.82,16.58,144.19,165.06,1.95,0.24
alabama,2017,197963.8,4952202,39975,3889271.6666666665,2203379.6666666665,56.65833333333333,2103740.4166666665,54.074999999999996,99639.25,4.508333333333334,WHEAT,100000.0,7700000.0,77.0,65.0,1919.0,2129.0,76.2,53.9,3.36,3.36,3.36,0.85,64.19,88.04,6.23,17.25,16.6,11.5,0.27,,0.12,50.16,111.92,21.38,0.63,0.63,0.68,99.44,10.8,79.38,13.55,15.62,30.83,17.58,200.62,196.0,1.93,0.25
alabama,2017,197963.8,4952202,39975,3889271.6666666665,2203379.6666666665,56.65833333333333,2103740.4166666665,54.074999999999996,99639.25,4.508333333333334,CORN,235000.0,158550000.0,167.0,65.0,1919.0,2129.0,76.2,53.9,3.36,3.36,3.36,0.85,64.19,88.04,6.23,17.25,16.6,11.5,0.27,,0.12,50.16,111.92,21.38,0.63,0.63,0.68,99.44,10.8,79.38,13.55,15.62,30.83,17.58,200.62,196.0,1.93,0.25
alabama,2017,197963.8,4952202,39975,3889271.6666666665,2203379.6666666665,56.65833333333333,2103740.4166666665,54.074999999999996,99639.25,4.508333333333334,COTTON,430000.0,282735000.0,902.0,65.0,1919.0,2129.0,76.2,53.9,3.36,3.36,3.36,0.85,64.19,88.04,6.23,17.25,16.6,11.5,0.27,,0.12,50.16,111.92,21.38,0.63,0.63,0.68,99.44,10.8,79.38,13.55,15.62,30.83,17.58,200.62,196.0,1.93,0.25
alabama,1984,42838.0,3951824,10840,2939000.0,1786316.6666666667,60.775,1584676.3333333333,53.916666666666664,201640.33333333334,11.283333333333333,WHEAT,380000.0,14820000.0,39.0,62.8,1720.0,2750.0,74.9,50.8,0.84,1.79,1.42,-0.26,50.53,,,,15.82,,,,0.11,58.59,,20.57,0.7,0.71,0.72,99.49,9.95,78.31,12.08,14.3,30.79,16.4,197.12,211.62,1.94,0.25
alabama,1984,42838.0,3951824,10840,2939000.0,1786316.6666666667,60.775,1584676.3333333333,53.916666666666664,201640.33333333334,11.283333333333333,POTATOES,12900.0,11920000.0,124.0,62.8,1720.0,2750.0,74.9,50.8,0.84,1.79,1.42,-0.26,50.53,,,,15.82,,,,0.11,58.59,,20.57,0.7,0.71,0.72,99.49,9.95,78.31,12.08,14.3,30.79,16.4,197.12,211.62,1.94,0.25
alabama,1984,42838.0,3951824,10840,2939000.0,1786316.6666666667,60.775,1584676.3333333333,53.916666666666664,201640.33333333334,11.283333333333333,CORN,385000.0,71321000.0,65.0,62.8,1720.0,2750.0,74.9,50.8,0.84,1.79,1.42,-0.26,50.53,,,,15.82,,,,0.11,58.59,,20.57,0.7,0.71,0.72,99.49,9.95,78.31,12.08,14.3,30.79,16.4,197.12,211.62,1.94,0.25
alabama,1984,42838.0,3951824,10840,2939000.0,1786316.6666666667,60.775,1584676.3333333333,53.916666666666664,201640.33333333334,11.283333333333333,COTTON,307000.0,120154000.0,699.0,62.8,1720.0,2750.0,74.9,50.8,0.84,1.79,1.42,-0.26,50.53,,,,15.82,,,,0.11,58.59,,20.57,0.7,0.71,0.72,99.49,9.95,78.31,12.08,14.3,30.79,16.4,197.12,211.62,1.94,0.25
alabama,2006,144719.0,4628981,31264,3522272.8333333335,2169932.6666666665,61.60833333333333,2083033.1666666667,59.13333333333333,86899.5,4.0,WHEAT,45000.0,2565000.0,57.0,64.2,2037.0,2534.0,76.6,51.7,-3.37,-3.37,-3.37,-0.83,47.54,90.95,6.44,18.17,17.41,11.7,0.27,,0.12,46.91,109.33,21.13,0.58,0.59,0.62,99.43,9.77,73.56,11.94,14.76,30.83,17.5,267.56,281.12,1.99,0.25
alabama,2006,144719.0,4628981,31264,3522272.8333333335,2169932.6666666665,61.60833333333333,2083033.1666666667,59.13333333333333,86899.5,4.0,POTATOES,1600.0,3600000.0,150.0,64.2,2037.0,2534.0,76.6,51.7,-3.37,-3.37,-3.37,-0.83,47.54,90.95,6.44,18.17,17.41,11.7,0.27,,0.12,46.91,109.33,21.13,0.58,0.59,0.62,99.43,9.77,73.56,11.94,14.76,30.83,17.5,267.56,281.12,1.99,0.25
alabama,2006,144719.0,4628981,31264,3522272.8333333335,2169932.6666666665,61.60833333333333,2083033.1666666667,59.13333333333333,86899.5,4.0,CORN,165000.0,34571000.0,72.0,64.2,2037.0,2534.0,76.6,51.7,-3.37,-3.37,-3.37,-0.83,47.54,90.95,6.44,18.17,17.41,11.7,0.27,,0.12,46.91,109.33,21.13,0.58,0.59,0.62,99.43,9.77,73.56,11.94,14.76,30.83,17.5,267.56,281.12,1.99,0.25
alabama,2006,144719.0,4628981,31264,3522272.8333333335,2169932.6666666665,61.60833333333333,2083033.1666666667,59.13333333333333,86899.5,4.0,COTTON,560000.0,144504000.0,579.0,64.2,2037.0,2534.0,76.6,51.7,-3.37,-3.37,-3.37,-0.83,47.54,90.95,6.44,18.17,17.41,11.7,0.27,,0.12,46.91,109.33,21.13,0.58,0.59,0.62,99.43,9.77,73.56,11.94,14.76,30.83,17.5,267.56,281.12,1.99,0.25
alabama,2022,258362.2,5073903,50920,4013691.0833333335,2286026.0833333335,56.958333333333336,2226687.3333333335,55.46666666666667,59338.75,2.575,WHEAT,120000.0,8640000.0,72.0,64.0,2042.0,2612.0,75.6,52.4,0.68,1.76,1.01,0.05,57.85,92.51,5.94,19.31,17.5,12.0,0.28,,0.12,47.96,112.93,21.6,0.58,0.59,0.62,99.48,9.95,73.81,11.9,14.68,30.85,17.37,199.56,256.62,1.94,0.25
alabama,2022,258362.2,5073903,50920,4013691.0833333335,2286026.0833333335,56.958333333333336,2226687.3333333335,55.46666666666667,59338.75,2.575,CORN,290000.0,251859000.0,118.0,64.0,2042.0,2612.0,75.6,52.4,0.68,1.76,1.01,0.05,57.85,92.51,5.94,19.31,17.5,12.0,0.28,,0.12,47.96,112.93,21.6,0.58,0.59,0.62,99.48,9.95,73.81,11.9,14.68,30.85,17.37,199.56,256.62,1.94,0.25
alabama,2022,258362.2,5073903,50920,4013691.0833333335,2286026.0833333335,56.958333333333336,2226687.3333333335,55.46666666666667,59338.75,2.575,COTTON,430000.0,367853000.0,930.0,64.0,2042.0,2612.0,75.6,52.4,0.68,1.76,1.01,0.05,57.85,92.51,5.94,19.31,17.5,12.0,0.28,,0.12,47.96,112.93,21.6,0.58,0.59,0.62,99.48,9.95,73.81,11.9,14.68,30.85,17.37,199.56,256.62,1.94,0.25
alabama,2020,230872.6,5031864,45882,3966036.0833333335,2269427.0,57.21666666666667,2124281.8333333335,53.56666666666666,145145.16666666666,6.425,WHEAT,70000.0,5040000.0,72.0,64.9,1987.0,2284.0,75.7,54.1,2.52,2.52,2.52,1.05,68.67,86.88,6.35,16.56,16.37,11.37,0.27,,0.12,56.86,111.71,21.37,0.67,0.68,0.7,99.47,10.68,79.12,13.44,15.56,30.8,17.65,152.06,33.06,2.01,0.24
alabama,2020,230872.6,5031864,45882,3966036.0833333335,2269427.0,57.21666666666667,2124281.8333333335,53.56666666666666,145145.16666666666,6.425,CORN,310000.0,251757000.0,158.0,64.9,1987.0,2284.0,75.7,54.1,2.52,2.52,2.52,1.05,68.67,86.88,6.35,16.56,16.37,11.37,0.27,,0.12,56.86,111.71,21.37,0.67,0.68,0.7,99.47,10.68,79.12,13.44,15.56,30.8,17.65,152.06,33.06,2.01,0.24
alabama,2020,230872.6,5031864,45882,3966036.0833333335,2269427.0,57.21666666666667,2124281.8333333335,53.56666666666666,145145.16666666666,6.425,COTTON,446000.0,240987000.0,790.0,64.9,1987.0,2284.0,75.7,54.1,2.52,2.52,2.52,1.05,68.67,86.88,6.35,16.56,16.37,11.37,0.27,,0.12,56.86,111.71,21.37,0.67,0.68,0.7,99.47,10.68,79.12,13.44,15.56,30.8,17.65,152.06,33.06,2.01,0.24
alabama,2019,215165.8,5003418,43004,3935787.8333333335,2272405.5833333335,57.75,2200012.5833333335,55.89166666666667,72393.0,3.1833333333333336,WHEAT,85000.0,6120000.0,72.0,65.4,2287.0,2398.0,76.6,54.1,-1.02,-1.02,-0.91,-0.28,56.3,89.73,6.51,17.1,16.92,11.75,0.28,,0.12,56.53,112.36,21.46,0.65,0.66,0.66,99.42,10.5,75.5,13.12,15.76,30.83,18.3,206.62,213.69,1.94,0.24
alabama,2019,215165.8,5003418,43004,3935787.8333333335,2272405.5833333335,57.75,2200012.5833333335,55.89166666666667,72393.0,3.1833333333333336,CORN,285000.0,167161000.0,147.0,65.4,2287.0,2398.0,76.6,54.1,-1.02,-1.02,-0.91,-0.28,56.3,89.73,6.51,17.1,16.92,11.75,0.28,,0.12,56.53,112.36,21.46,0.65,0.66,0.66,99.42,10.5,75.5,13.12,15.76,30.83,18.3,206.62,213.69,1.94,0.24
alabama,2019,215165.8,5003418,43004,3935787.8333333335,2272405.5833333335,57.75,2200012.5833333335,55.89166666666667,72393.0,3.1833333333333336,COTTON,532000.0,297544000.0,928.0,65.4,2287.0,2398.0,76.6,54.1,-1.02,-1.02,-0.91,-0.28,56.3,89.73,6.51,17.1,16.92,11.75,0.28,,0.12,56.53,112.36,21.46,0.65,0.66,0.66,99.42,10.5,75.5,13.12,15.76,30.83,18.3,206.62,213.69,1.94,0.24
alabama,2018,205674.2,4976395,41330,3911655.0,2239817.6666666665,57.25833333333333,2151843.1666666665,55.0,87974.5,3.9416666666666664,WHEAT,110000.0,7920000.0,72.0,64.5,2247.0,2694.0,75.2,53.7,0.74,0.74,-0.45,0.56,64.4,87.13,6.48,16.43,16.43,11.4,0.27,,0.12,56.68,111.61,21.31,0.59,0.59,0.63,99.5,10.68,77.5,12.99,15.3,30.83,17.56,177.81,188.44,1.93,0.23
alabama,2018,205674.2,4976395,41330,3911655.0,2239817.6666666665,57.25833333333333,2151843.1666666665,55.0,87974.5,3.9416666666666664,CORN,245000.0,157084000.0,156.0,64.5,2247.0,2694.0,75.2,53.7,0.74,0.74,-0.45,0.56,64.4,87.13,6.48,16.43,16.43,11.4,0.27,,0.12,56.68,111.61,21.31,0.59,0.59,0.63,99.5,10.68,77.5,12.99,15.3,30.83,17.56,177.81,188.44,1.93,0.23
alabama,2018,205674.2,4976395,41330,3911655.0,2239817.6666666665,57.25833333333333,2151843.1666666665,55.0,87974.5,3.9416666666666664,COTTON,494000.0,311155000.0,863.0,64.5,2247.0,2694.0,75.2,53.7,0.74,0.74,-0.45,0.56,64.4,87.13,6.48,16.43,16.43,11.4,0.27,,0.12,56.68,111.61,21.31,0.59,0.59,0.63,99.5,10.68,77.5,12.99,15.3,30.83,17.56,177.81,188.44,1.93,0.23
alabama,2016,190871.8,4930595,38712,3816952.75,2155751.4166666665,56.49166666666667,2028929.0,53.166666666666664,126822.41666666667,5.908333333333334,WHEAT,170000.0,11900000.0,70.0,65.3,2303.0,2353.0,77.3,53.4,-1.76,-1.76,-1.76,-1.37,45.01,92.31,5.99,19.1,17.52,11.98,0.28,,0.12,46.97,112.35,21.52,0.64,0.65,0.64,99.5,10.19,72.44,12.26,15.24,30.8,18.13,210.25,228.56,1.95,0.25
alabama,2016,190871.8,4930595,38712,3816952.75,2155751.4166666665,56.49166666666667,2028929.0,53.166666666666664,126822.41666666667,5.908333333333334,CORN,315000.0,137214000.0,120.0,65.3,2303.0,2353.0,77.3,53.4,-1.76,-1.76,-1.76,-1.37,45.01,92.31,5.99,19.1,17.52,11.98,0.28,,0.12,46.97,112.35,21.52,0.64,0.65,0.64,99.5,10.19,72.44,12.26,15.24,30.8,18.13,210.25,228.56,1.95,0.25
alabama,2016,190871.8,4930595,38712,3816952.75,2155751.4166666665,56.49166666666667,2028929.0,53.166666666666664,126822.41666666667,5.908333333333334,COTTON,343000.0,240605000.0,988.0,65.3,2303.0,2353.0,77.3,53.4,-1.76,-1.76,-1.76,-1.37,45.01,92.31,5.99,19.1,17.52,11.98,0.28,,0.12,46.97,112.35,21.52,0.64,0.65,0.64,99.5,10.19,72.44,12.26,15.24,30.8,18.13,210.25,228.56,1.95,0.25
alabama,2015,187474.7,4908162,38197,3799373.0833333335,2152497.9166666665,56.65,2020763.4166666667,53.175000000000004,131734.5,6.125,WHEAT,220000.0,14960000.0,68.0,64.6,2086.0,2427.0,75.4,53.8,-0.99,-0.99,-0.65,0.17,61.36,85.7,6.35,16.14,16.15,11.16,0.26,,0.12,55.15,110.57,21.14,0.64,0.66,0.68,99.5,10.8,78.44,13.39,15.61,30.85,17.76,60.94,349.06,1.92,0.23
alabama,2015,187474.7,4908162,38197,3799373.0833333335,2152497.9166666665,56.65,2020763.4166666667,53.175000000000004,131734.5,6.125,CORN,245000.0,134696000.0,147.0,64.6,2086.0,2427.0,75.4,53.8,-0.99,-0.99,-0.65,0.17,61.36,85.7,6.35,16.14,16.15,11.16,0.26,,0.12,55.15,110.57,21.14,0.64,0.66,0.68,99.5,10.8,78.44,13.39,15.61,30.85,17.76,60.94,349.06,1.92,0.23
alabama,2015,187474.7,4908162,38197,3799373.0833333335,2152497.9166666665,56.65,2020763.4166666667,53.175000000000004,131734.5,6.125,COTTON,307000.0,181623000.0,866.0,64.6,2086.0,2427.0,75.4,53.8,-0.99,-0.99,-0.65,0.17,61.36,85.7,6.35,16.14,16.15,11.16,0.26,,0.12,55.15,110.57,21.14,0.64,0.66,0.68,99.5,10.8,78.44,13.39,15.61,30.85,17.76,60.94,349.06,1.92,0.23
alabama,2014,179487.1,4886793,36729,3783191.25,2164595.5,57.225,2018737.3333333333,53.36666666666667,145858.16666666666,6.733333333333333,WHEAT,225000.0,15525000.0,69.0,62.0,1825.0,3134.0,73.7,50.4,-0.72,1.34,0.26,0.09,56.03,89.38,6.35,17.73,16.98,11.6,0.27,,0.12,49.88,111.42,21.41,0.68,0.69,0.7,99.47,10.01,77.69,11.79,14.03,30.84,16.19,265.31,260.88,1.91,0.25
alabama,2014,179487.1,4886793,36729,3783191.25,2164595.5,57.225,2018737.3333333333,53.36666666666667,145858.16666666666,6.733333333333333,CORN,285000.0,169931000.0,159.0,62.0,1825.0,3134.0,73.7,50.4,-0.72,1.34,0.26,0.09,56.03,89.38,6.35,17.73,16.98,11.6,0.27,,0.12,49.88,111.42,21.41,0.68,0.69,0.7,99.47,10.01,77.69,11.79,14.03,30.84,16.19,265.31,260.88,1.91,0.25
alabama,2014,179487.1,4886793,36729,3783191.25,2164595.5,57.225,2018737.3333333333,53.36666666666667,145858.16666666666,6.733333333333333,COTTON,348000.0,189004000.0,901.0,62.0,1825.0,3134.0,73.7,50.4,-0.72,1.34,0.26,0.09,56.03,89.38,6.35,17.73,16.98,11.6,0.27,,0.12,49.88,111.42,21.41,0.68,0.69,0.7,99.47,10.01,77.69,11.79,14.03,30.84,16.19,265.31,260.88,1.91,0.25
alabama,2013,173720.7,4864399,35713,3765925.6666666665,2172942.4166666665,57.725,2013764.5,53.46666666666667,159177.91666666666,7.325,WHEAT,285000.0,19665000.0,69.0,62.6,1717.0,2825.0,73.3,51.9,3.3,3.3,3.3,1.07,64.7,84.4,6.31,16.01,15.96,11.03,0.25,,0.12,54.82,110.62,21.23,0.7,0.71,0.73,99.51,10.31,79.81,12.48,14.47,30.84,16.43,120.25,74.56,1.95,0.23
