Year,State,Commodity,ACRES HARVESTED,"PRODUCTION, MEASURED IN $",YIELD,January-December Average Temperature (Units Degrees Fahrenheit),January-December Cooling Degree Days (Units Fahrenheit Degree-Days),January-December Heating Degree Days (Units Fahrenheit Degree-Days),January-December Maximum Temperature (Units Degrees Fahrenheit),January-December Minimum Temperature (Units Degrees Fahrenheit),August Palmer Drought Severity Index (PDSI),August Palmer Hydrological Drought Index (PHDI),August Palmer Modified Drought Index (PMDI),January-December Palmer Z-Index,January-December Precipitation (Units Inches),Allsky_Sfc_Par_Tot,Allsky_Sfc_Sw_Diff,Allsky_Sfc_Sw_Dni,Allsky_Sfc_Sw_Dwn,Allsky_Sfc_Uva,Allsky_Sfc_Uvb,Allsky_Sfc_Uv_Index,Allsky_Srf_Alb,Cloud_Amt,Clrsky_Sfc_Par_Tot,Clrsky_Sfc_Sw_Dwn,Gwetprof,Gwetroot,Gwettop,Ps,Qv2M,Rh2M,T2Mdew,T2Mwet,Toa_Sw_Dwn,Ts,Wd10M,Wd2M,Ws10M,Ws2M
1981,colorado,BEANS,225000.0,45628000.0,1370.0,47.1,288.0,6679.0,60.8,33.4,-3.45,-3.45,-3.1,-1.11,18.79,,,,,,,,,,,,0.41,0.4,0.39,72.78,4.09,54.75,-5.02,-0.09,,5.3,278.25,278.06,4.08,2.7
1981,delaware,WHEAT,48000.0,1920000.0,40.0,53.6,889.0,5146.0,63.5,43.6,-1.73,-1.73,-1.52,-0.63,36.68,,,,,,,,,,,,0.64,0.66,0.65,101.52,7.32,74.69,7.02,9.49,,12.1,287.81,288.75,4.62,3.14
1981,delaware,POTATOES,5200.0,11606000.0,240.0,53.6,889.0,5146.0,63.5,43.6,-1.73,-1.73,-1.52,-0.63,36.68,,,,,,,,,,,,0.64,0.66,0.65,101.52,7.32,74.69,7.02,9.49,,12.1,287.81,288.75,4.62,3.14
1981,delaware,CORN,181000.0,40770000.0,85.0,53.6,889.0,5146.0,63.5,43.6,-1.73,-1.73,-1.52,-0.63,36.68,,,,,,,,,,,,0.64,0.66,0.65,101.52,7.32,74.69,7.02,9.49,,12.1,287.81,288.75,4.62,3.14
1981,georgia,WHEAT,1070000.0,46010000.0,43.0,62.4,1583.0,3364.0,74.7,50.0,-3.51,-3.51,-3.36,-0.98,42.09,,,,,,,,,,,,0.52,0.52,0.55,100.27,8.73,68.06,9.86,13.4,,16.9,293.62,293.62,2.13,0.48
1981,georgia,CORN,1380000.0,195960000.0,50.0,62.4,1583.0,3364.0,74.7,50.0,-3.51,-3.51,-3.36,-0.98,42.09,,,,,,,,,,,,0.52,0.52,0.55,100.27,8.73,68.06,9.86,13.4,,16.9,293.62,293.62,2.13,0.48
1981,georgia,COTTON,175000.0,41442000.0,436.0,62.4,1583.0,3364.0,74.7,50.0,-3.51,-3.51,-3.36,-0.98,42.09,,,,,,,,,,,,0.52,0.52,0.55,100.27,8.73,68.06,9.86,13.4,,16.9,293.62,293.62,2.13,0.48
1981,idaho,WHEAT,1510000.0,89780000.0,59.5,44.3,408.0,6679.0,56.0,32.7,1.35,1.35,0.87,0.55,26.14,,,,,,,,,,,,0.41,0.4,0.48,77.66,3.85,72.94,-4.35,-1.32,,0.21,230.19,191.75,2.03,0.38
1981,idaho,POTATOES,318000.0,401280000.0,266.0,44.3,408.0,6679.0,56.0,32.7,1.35,1.35,0.87,0.55,26.14,,,,,,,,,,,,0.41,0.4,0.48,77.66,3.85,72.94,-4.35,-1.32,,0.21,230.19,191.75,2.03,0.38
1981,idaho,CORN,65000.0,24294000.0,115.0,44.3,408.0,6679.0,56.0,32.7,1.35,1.35,0.87,0.55,26.14,,,,,,,,,,,,0.41,0.4,0.48,77.66,3.85,72.94,-4.35,-1.32,,0.21,230.19,191.75,2.03,0.38
1981,idaho,BEANS,243000.0,65438000.0,1760.0,44.3,408.0,6679.0,56.0,32.7,1.35,1.35,0.87,0.55,26.14,,,,,,,,,,,,0.41,0.4,0.48,77.66,3.85,72.94,-4.35,-1.32,,0.21,230.19,191.75,2.03,0.38
1981,illinois,WHEAT,1950000.0,97500000.0,50.0,51.8,733.0,6295.0,62.0,41.6,3.71,3.71,3.71,0.92,41.69,,,,,,,,,,,,0.67,0.68,0.7,99.23,7.39,78.25,5.91,7.92,,9.85,245.0,247.81,4.77,3.23
1981,illinois,POTATOES,2100.0,2546000.0,250.0,51.8,733.0,6295.0,62.0,41.6,3.71,3.71,3.71,0.92,41.69,,,,,,,,,,,,0.67,0.68,0.7,99.23,7.39,78.25,5.91,7.92,,9.85,245.0,247.81,4.77,3.23
1981,illinois,CORN,11320000.0,3608590000.0,126.0,51.8,733.0,6295.0,62.0,41.6,3.71,3.71,3.71,0.92,41.69,,,,,,,,,,,,0.67,0.68,0.7,99.23,7.39,78.25,5.91,7.92,,9.85,245.0,247.81,4.77,3.23
1981,indiana,WHEAT,1300000.0,59800000.0,46.0,50.8,789.0,6087.0,61.0,40.6,2.41,2.41,2.41,0.52,41.21,,,,,,,,,,,,0.63,0.64,0.66,98.62,7.2,77.38,5.61,7.73,,9.8,249.12,251.12,4.6,3.11
1981,indiana,POTATOES,4600.0,5699000.0,193.0,50.8,789.0,6087.0,61.0,40.6,2.41,2.41,2.41,0.52,41.21,,,,,,,,,,,,0.63,0.64,0.66,98.62,7.2,77.38,5.61,7.73,,9.8,249.12,251.12,4.6,3.11
1981,indiana,CORN,6000000.0,1600560000.0,108.0,50.8,789.0,6087.0,61.0,40.6,2.41,2.41,2.41,0.52,41.21,,,,,,,,,,,,0.63,0.64,0.66,98.62,7.2,77.38,5.61,7.73,,9.8,249.12,251.12,4.6,3.11
1981,iowa,WHEAT,125000.0,4875000.0,39.0,49.0,721.0,6542.0,60.0,37.9,1.58,1.58,1.58,0.36,31.99,,,,,,,,,,,,0.52,0.52,0.54,98.03,6.47,70.94,3.89,6.8,,9.9,279.44,283.19,5.04,3.47
1981,iowa,POTATOES,1500.0,1512000.0,180.0,49.0,721.0,6542.0,60.0,37.9,1.58,1.58,1.58,0.36,31.99,,,,,,,,,,,,0.52,0.52,0.54,98.03,6.47,70.94,3.89,6.8,,9.9,279.44,283.19,5.04,3.47
1981,iowa,CORN,13850000.0,4172313000.0,125.0,49.0,721.0,6542.0,60.0,37.9,1.58,1.58,1.58,0.36,31.99,,,,,,,,,,,,0.52,0.52,0.54,98.03,6.47,70.94,3.89,6.8,,9.9,279.44,283.19,5.04,3.47
1981,kansas,WHEAT,12100000.0,302500000.0,25.0,55.7,1400.0,4662.0,68.2,43.2,0.73,-1.79,-0.57,-0.22,29.94,,,,,,,,,,,,0.43,0.41,0.43,95.71,7.32,62.88,5.76,9.73,,13.91,174.0,173.94,5.19,3.53
1981,kansas,CORN,1175000.0,381969000.0,126.0,55.7,1400.0,4662.0,68.2,43.2,0.73,-1.79,-0.57,-0.22,29.94,,,,,,,,,,,,0.43,0.41,0.43,95.71,7.32,62.88,5.76,9.73,,13.91,174.0,173.94,5.19,3.53
1981,kansas,BEANS,47000.0,16456000.0,1990.0,55.7,1400.0,4662.0,68.2,43.2,0.73,-1.79,-0.57,-0.22,29.94,,,,,,,,,,,,0.43,0.41,0.43,95.71,7.32,62.88,5.76,9.73,,13.91,174.0,173.94,5.19,3.53
1981,kentucky,WHEAT,680000.0,28560000.0,42.0,54.3,1048.0,4960.0,65.4,43.2,1.23,1.23,1.11,0.05,43.92,,,,,,,,,,,,0.63,0.65,0.67,98.43,7.87,76.62,7.4,9.66,,11.76,241.0,242.25,2.78,1.11
1981,kentucky,CORN,1490000.0,375271000.0,98.0,54.3,1048.0,4960.0,65.4,43.2,1.23,1.23,1.11,0.05,43.92,,,,,,,,,,,,0.63,0.65,0.67,98.43,7.87,76.62,7.4,9.66,,11.76,241.0,242.25,2.78,1.11
1981,louisiana,WHEAT,275000.0,11550000.0,42.0,66.1,2563.0,1940.0,77.1,55.0,-2.37,-2.37,-1.93,-0.85,45.55,,,,,,,,,,,,0.55,0.55,0.57,101.21,10.5,73.62,13.11,15.93,,18.65,160.5,151.31,2.02,0.37
1981,louisiana,POTATOES,1600.0,1498000.0,80.0,66.1,2563.0,1940.0,77.1,55.0,-2.37,-2.37,-1.93,-0.85,45.55,,,,,,,,,,,,0.55,0.55,0.57,101.21,10.5,73.62,13.11,15.93,,18.65,160.5,151.31,2.02,0.37
1981,louisiana,CORN,33000.0,7673000.0,75.0,66.1,2563.0,1940.0,77.1,55.0,-2.37,-2.37,-1.93,-0.85,45.55,,,,,,,,,,,,0.55,0.55,0.57,101.21,10.5,73.62,13.11,15.93,,18.65,160.5,151.31,2.02,0.37
1981,louisiana,RICE,667000.0,253450000.0,4060.0,66.1,2563.0,1940.0,77.1,55.0,-2.37,-2.37,-1.93,-0.85,45.55,,,,,,,,,,,,0.55,0.55,0.57,101.21,10.5,73.62,13.11,15.93,,18.65,160.5,151.31,2.02,0.37
1981,louisiana,COTTON,695000.0,194107000.0,512.0,66.1,2563.0,1940.0,77.1,55.0,-2.37,-2.37,-1.93,-0.85,45.55,,,,,,,,,,,,0.55,0.55,0.57,101.21,10.5,73.62,13.11,15.93,,18.65,160.5,151.31,2.02,0.37
1981,maryland,WHEAT,137000.0,5617000.0,41.0,53.1,884.0,5131.0,63.3,42.9,-1.36,-1.36,-0.61,-0.52,36.54,,,,,,,,,,,,0.54,0.55,0.58,99.87,6.77,73.44,5.59,8.23,,10.95,288.75,289.62,4.2,2.76
1981,maryland,POTATOES,1600.0,2839000.0,195.0,53.1,884.0,5131.0,63.3,42.9,-1.36,-1.36,-0.61,-0.52,36.54,,,,,,,,,,,,0.54,0.55,0.58,99.87,6.77,73.44,5.59,8.23,,10.95,288.75,289.62,4.2,2.76
1981,maryland,CORN,680000.0,187272000.0,102.0,53.1,884.0,5131.0,63.3,42.9,-1.36,-1.36,-0.61,-0.52,36.54,,,,,,,,,,,,0.54,0.55,0.58,99.87,6.77,73.44,5.59,8.23,,10.95,288.75,289.62,4.2,2.76
1981,michigan,WHEAT,830000.0,41500000.0,50.0,44.0,449.0,7216.0,54.0,34.1,1.21,1.21,0.99,0.43,32.12,,,,,,,,,,,,0.48,0.42,0.48,98.28,5.92,78.19,3.09,5.15,,7.19,272.44,272.38,4.59,3.12
1981,michigan,POTATOES,44800.0,66554000.0,235.0,44.0,449.0,7216.0,54.0,34.1,1.21,1.21,0.99,0.43,32.12,,,,,,,,,,,,0.48,0.42,0.48,98.28,5.92,78.19,3.09,5.15,,7.19,272.44,272.38,4.59,3.12
1981,michigan,CORN,2800000.0,642432000.0,96.0,44.0,449.0,7216.0,54.0,34.1,1.21,1.21,0.99,0.43,32.12,,,,,,,,,,,,0.48,0.42,0.48,98.28,5.92,78.19,3.09,5.15,,7.19,272.44,272.38,4.59,3.12
1981,michigan,BEANS,590000.0,186428000.0,1220.0,44.0,449.0,7216.0,54.0,34.1,1.21,1.21,0.99,0.43,32.12,,,,,,,,,,,,0.48,0.42,0.48,98.28,5.92,78.19,3.09,5.15,,7.19,272.44,272.38,4.59,3.12
1981,minnesota,WHEAT,3510000.0,140025000.0,39.9,42.6,382.0,8271.0,53.2,31.9,1.65,1.65,1.65,0.49,28.05,,,,,,,,,,,,0.48,0.48,0.51,96.85,5.25,75.38,0.61,2.99,,5.44,287.06,290.25,4.95,3.43
1981,minnesota,POTATOES,76100.0,72868000.0,196.0,42.6,382.0,8271.0,53.2,31.9,1.65,1.65,1.65,0.49,28.05,,,,,,,,,,,,0.48,0.48,0.51,96.85,5.25,75.38,0.61,2.99,,5.44,287.06,290.25,4.95,3.43
1981,minnesota,CORN,6770000.0,1735151000.0,110.0,42.6,382.0,8271.0,53.2,31.9,1.65,1.65,1.65,0.49,28.05,,,,,,,,,,,,0.48,0.48,0.51,96.85,5.25,75.38,0.61,2.99,,5.44,287.06,290.25,4.95,3.43
1981,minnesota,BEANS,103000.0,27966000.0,1240.0,42.6,382.0,8271.0,53.2,31.9,1.65,1.65,1.65,0.49,28.05,,,,,,,,,,,,0.48,0.48,0.51,96.85,5.25,75.38,0.61,2.99,,5.44,287.06,290.25,4.95,3.43
1981,mississippi,WHEAT,600000.0,24000000.0,40.0,63.1,2091.0,2704.0,75.0,51.2,-2.81,-2.81,-2.81,-1.05,42.34,,,,,,,,,,,,0.7,0.71,0.71,100.17,9.28,71.62,10.82,13.93,,16.85,208.44,145.44,1.78,0.06
1981,mississippi,CORN,115000.0,20608000.0,56.0,63.1,2091.0,2704.0,75.0,51.2,-2.81,-2.81,-2.81,-1.05,42.34,,,,,,,,,,,,0.7,0.71,0.71,100.17,9.28,71.62,10.82,13.93,,16.85,208.44,145.44,1.78,0.06
1981,mississippi,RICE,337000.0,135199000.0,4390.0,63.1,2091.0,2704.0,75.0,51.2,-2.81,-2.81,-2.81,-1.05,42.34,,,,,,,,,,,,0.7,0.71,0.71,100.17,9.28,71.62,10.82,13.93,,16.85,208.44,145.44,1.78,0.06
1981,mississippi,COTTON,1200000.0,438701000.0,626.0,63.1,2091.0,2704.0,75.0,51.2,-2.81,-2.81,-2.81,-1.05,42.34,,,,,,,,,,,,0.7,0.71,0.71,100.17,9.28,71.62,10.82,13.93,,16.85,208.44,145.44,1.78,0.06
1981,missouri,WHEAT,2750000.0,115500000.0,42.0,54.9,1166.0,4991.0,65.9,43.9,3.25,3.25,3.25,0.35,44.21,,,,,,,,,,,,0.64,0.66,0.68,99.01,8.06,76.12,7.31,9.59,,11.79,225.5,229.06,4.27,2.77
1981,missouri,CORN,1940000.0,514798000.0,107.0,54.9,1166.0,4991.0,65.9,43.9,3.25,3.25,3.25,0.35,44.21,,,,,,,,,,,,0.64,0.66,0.68,99.01,8.06,76.12,7.31,9.59,,11.79,225.5,229.06,4.27,2.77
1981,missouri,RICE,76000.0,29441000.0,4080.0,54.9,1166.0,4991.0,65.9,43.9,3.25,3.25,3.25,0.35,44.21,,,,,,,,,,,,0.64,0.66,0.68,99.01,8.06,76.12,7.31,9.59,,11.79,225.5,229.06,4.27,2.77
1981,missouri,COTTON,183000.0,45158000.0,441.0,54.9,1166.0,4991.0,65.9,43.9,3.25,3.25,3.25,0.35,44.21,,,,,,,,,,,,0.64,0.66,0.68,99.01,8.06,76.12,7.31,9.59,,11.79,225.5,229.06,4.27,2.77
1981,montana,WHEAT,5820000.0,172830000.0,29.7,44.0,167.0,8202.0,56.3,31.7,-0.16,1.56,1.26,-0.21,18.68,,,,,,,,,,,,0.45,0.43,0.48,85.29,4.46,62.81,-1.35,2.57,,6.61,282.69,284.31,4.58,3.01
1981,montana,POTATOES,7400.0,13912000.0,235.0,44.0,167.0,8202.0,56.3,31.7,-0.16,1.56,1.26,-0.21,18.68,,,,,,,,,,,,0.45,0.43,0.48,85.29,4.46,62.81,-1.35,2.57,,6.61,282.69,284.31,4.58,3.01
1981,montana,CORN,10000.0,2788000.0,85.0,44.0,167.0,8202.0,56.3,31.7,-0.16,1.56,1.26,-0.21,18.68,,,,,,,,,,,,0.45,0.43,0.48,85.29,4.46,62.81,-1.35,2.57,,6.61,282.69,284.31,4.58,3.01
1981,montana,BEANS,13000.0,3597000.0,1680.0,44.0,167.0,8202.0,56.3,31.7,-0.16,1.56,1.26,-0.21,18.68,,,,,,,,,,,,0.45,0.43,0.48,85.29,4.46,62.81,-1.35,2.57,,6.61,282.69,284.31,4.58,3.01
1981,nebraska,WHEAT,2900000.0,104400000.0,36.0,50.5,945.0,5934.0,63.4,37.5,1.03,-2.13,-0.77,-0.59,24.16,,,,,,,,,,,,0.33,0.31,0.35,91.88,5.86,60.81,2.22,6.4,,10.88,294.69,301.88,5.11,3.52
1981,nebraska,POTATOES,9000.0,14357000.0,275.0,50.5,945.0,5934.0,63.4,37.5,1.03,-2.13,-0.77,-0.59,24.16,,,,,,,,,,,,0.33,0.31,0.35,91.88,5.86,60.81,2.22,6.4,,10.88,294.69,301.88,5.11,3.52
1981,nebraska,CORN,6880000.0,1985912000.0,115.0,50.5,945.0,5934.0,63.4,37.5,1.03,-2.13,-0.77,-0.59,24.16,,,,,,,,,,,,0.33,0.31,0.35,91.88,5.86,60.81,2.22,6.4,,10.88,294.69,301.88,5.11,3.52
1981,nebraska,BEANS,230000.0,80098000.0,1750.0,50.5,945.0,5934.0,63.4,37.5,1.03,-2.13,-0.77,-0.59,24.16,,,,,,,,,,,,0.33,0.31,0.35,91.88,5.86,60.81,2.22,6.4,,10.88,294.69,301.88,5.11,3.52
1981,nevada,WHEAT,31000.0,1850000.0,59.7,51.8,2225.0,3240.0,65.4,38.2,-3.93,-3.93,-3.93,-0.96,10.71,,,,,,,,,,,,0.37,0.38,0.31,78.21,3.36,45.31,-5.53,1.45,,9.03,263.88,261.62,3.77,2.6
1981,nevada,POTATOES,12000.0,17052000.0,290.0,51.8,2225.0,3240.0,65.4,38.2,-3.93,-3.93,-3.93,-0.96,10.71,,,,,,,,,,,,0.37,0.38,0.31,78.21,3.36,45.31,-5.53,1.45,,9.03,263.88,261.62,3.77,2.6
1981,nevada,COTTON,900.0,432000.0,800.0,51.8,2225.0,3240.0,65.4,38.2,-3.93,-3.93,-3.93,-0.96,10.71,,,,,,,,,,,,0.37,0.38,0.31,78.21,3.36,45.31,-5.53,1.45,,9.03,263.88,261.62,3.77,2.6
1981,new jersey,WHEAT,56000.0,2352000.0,42.0,51.5,694.0,5769.0,61.6,41.3,-2.18,-2.18,-2.18,-0.51,38.88,,,,,,,,,,,,0.49,0.48,0.52,101.3,7.02,75.69,6.3,8.65,,11.3,284.25,286.25,4.41,2.89
1981,new jersey,POTATOES,8100.0,14462000.0,255.0,51.5,694.0,5769.0,61.6,41.3,-2.18,-2.18,-2.18,-0.51,38.88,,,,,,,,,,,,0.49,0.48,0.52,101.3,7.02,75.69,6.3,8.65,,11.3,284.25,286.25,4.41,2.89
1981,new jersey,CORN,130000.0,33591000.0,99.0,51.5,694.0,5769.0,61.6,41.3,-2.18,-2.18,-2.18,-0.51,38.88,,,,,,,,,,,,0.49,0.48,0.52,101.3,7.02,75.69,6.3,8.65,,11.3,284.25,286.25,4.41,2.89
1981,new mexico,WHEAT,500000.0,11000000.0,22.0,54.4,878.0,4400.0,69.3,39.4,1.14,-0.76,0.87,-0.38,15.22,,,,,,,,,,,,0.39,0.39,0.36,80.67,5.07,46.94,-1.04,5.4,,12.64,259.88,259.81,4.02,2.75
1981,new mexico,POTATOES,4500.0,6143000.0,210.0,54.4,878.0,4400.0,69.3,39.4,1.14,-0.76,0.87,-0.38,15.22,,,,,,,,,,,,0.39,0.39,0.36,80.67,5.07,46.94,-1.04,5.4,,12.64,259.88,259.81,4.02,2.75
1981,new mexico,CORN,65000.0,23629000.0,128.0,54.4,878.0,4400.0,69.3,39.4,1.14,-0.76,0.87,-0.38,15.22,,,,,,,,,,,,0.39,0.39,0.36,80.67,5.07,46.94,-1.04,5.4,,12.64,259.88,259.81,4.02,2.75
1981,new mexico,COTTON,106000.0,38304000.0,602.0,54.4,878.0,4400.0,69.3,39.4,1.14,-0.76,0.87,-0.38,15.22,,,,,,,,,,,,0.39,0.39,0.36,80.67,5.07,46.94,-1.04,5.4,,12.64,259.88,259.81,4.02,2.75
1981,new york,WHEAT,160000.0,7040000.0,44.0,44.7,519.0,6504.0,54.4,34.9,0.2,-1.04,-0.49,0.15,40.15,,,,,,,,,,,,0.66,0.61,0.65,96.56,5.98,85.06,2.95,4.34,,5.54,269.12,268.06,2.48,0.35
1981,new york,POTATOES,43500.0,75083000.0,281.0,44.7,519.0,6504.0,54.4,34.9,0.2,-1.04,-0.49,0.15,40.15,,,,,,,,,,,,0.66,0.61,0.65,96.56,5.98,85.06,2.95,4.34,,5.54,269.12,268.06,2.48,0.35
1981,new york,CORN,830000.0,206869000.0,93.0,44.7,519.0,6504.0,54.4,34.9,0.2,-1.04,-0.49,0.15,40.15,,,,,,,,,,,,0.66,0.61,0.65,96.56,5.98,85.06,2.95,4.34,,5.54,269.12,268.06,2.48,0.35
1981,new york,BEANS,47000.0,10115000.0,1230.0,44.7,519.0,6504.0,54.4,34.9,0.2,-1.04,-0.49,0.15,40.15,,,,,,,,,,,,0.66,0.61,0.65,96.56,5.98,85.06,2.95,4.34,,5.54,269.12,268.06,2.48,0.35
1981,north carolina,WHEAT,550000.0,21450000.0,39.0,57.2,1269.0,4033.0,68.9,45.4,-2.19,-2.19,-1.56,-0.71,40.76,,,,,,,,,,,,0.61,0.62,0.61,100.75,8.3,70.69,8.6,11.69,,14.8,291.44,291.44,3.3,1.8
1981,north carolina,POTATOES,18000.0,18687000.0,143.0,57.2,1269.0,4033.0,68.9,45.4,-2.19,-2.19,-1.56,-0.71,40.76,,,,,,,,,,,,0.61,0.62,0.61,100.75,8.3,70.69,8.6,11.69,,14.8,291.44,291.44,3.3,1.8
1981,north carolina,CORN,1830000.0,377639000.0,77.0,57.2,1269.0,4033.0,68.9,45.4,-2.19,-2.19,-1.56,-0.71,40.76,,,,,,,,,,,,0.61,0.62,0.61,100.75,8.3,70.69,8.6,11.69,,14.8,291.44,291.44,3.3,1.8
