State,Year,January-December Average Temperature (Units Degrees Fahrenheit),January-December Cooling Degree Days (Units Fahrenheit Degree-Days),January-December Heating Degree Days (Units Fahrenheit Degree-Days),January-December Maximum Temperature (Units Degrees Fahrenheit),January-December Minimum Temperature (Units Degrees Fahrenheit),August Palmer Drought Severity Index (PDSI),August Palmer Hydrological Drought Index (PHDI),August Palmer Modified Drought Index (PMDI),January-December Palmer Z-Index,January-December Precipitation (Units Inches)
Alabama,2000,63.6,2052.0,2802.0,76.0,51.2,-5.25,-5.25,-5.25,-1.42,42.49
Alabama,2001,63.0,1713.0,2656.0,74.6,51.4,1.71,1.71,1.71,0.52,59.04
Alabama,2002,63.6,2053.0,2774.0,74.8,52.4,-1.92,-1.92,-1.92,0.1,57.13
Alabama,2003,62.7,1764.0,2806.0,73.8,51.6,4.61,4.61,4.61,1.01,63.72
Alabama,2004,63.3,1841.0,2637.0,74.2,52.4,1.21,1.21,1.21,0.65,59.88
Alabama,2005,63.4,1905.0,2691.0,74.9,51.9,3.65,3.65,3.65,0.33,57.08
Alabama,2006,64.2,2037.0,2534.0,76.6,51.7,-3.37,-3.37,-3.37,-0.83,47.54
Alabama,2007,64.4,2171.0,2521.0,76.8,52.0,-5.05,-5.05,-5.05,-1.82,37.86
Alabama,2008,62.9,1841.0,2808.0,74.7,51.1,1.52,-1.66,0.2,-0.09,53.07
Alabama,2009,62.9,1818.0,2798.0,73.8,52.1,1.56,1.56,1.32,1.54,73.77
Alabama,2010,62.7,2291.0,3318.0,74.7,50.7,-1.71,0.64,-1.63,-0.9,47.19
Alabama,2011,63.8,2032.0,2667.0,75.9,51.7,-3.87,-3.87,-3.87,-0.7,50.71
Alabama,2012,64.9,2035.0,2209.0,76.5,53.3,0.64,-1.73,-0.85,-0.28,53.38
Alabama,2013,62.6,1717.0,2825.0,73.3,51.9,3.3,3.3,3.3,1.07,64.7
Alabama,2014,62.0,1825.0,3134.0,73.7,50.4,-0.72,1.34,0.26,0.09,56.03
Alabama,2015,64.6,2086.0,2427.0,75.4,53.8,-0.99,-0.99,-0.65,0.17,61.36
Alabama,2016,65.3,2303.0,2353.0,77.3,53.4,-1.76,-1.76,-1.76,-1.37,45.01
Alabama,2017,65.0,1919.0,2129.0,76.2,53.9,3.36,3.36,3.36,0.85,64.19
Alabama,2018,64.5,2247.0,2694.0,75.2,53.7,0.74,0.74,-0.45,0.56,64.4
Alabama,2019,65.4,2287.0,2398.0,76.6,54.1,-1.02,-1.02,-0.91,-0.28,56.3
Alabama,2020,64.9,1987.0,2284.0,75.7,54.1,2.52,2.52,2.52,1.05,68.67
Alabama,2021,64.2,1889.0,2396.0,75.1,53.3,4.43,4.43,4.43,1.04,65.16
Alabama,2022,64.0,2042.0,2612.0,75.6,52.4,0.68,1.76,1.01,0.05,57.85
Alabama,2023,65.4,2076.0,2139.0,76.9,53.9,-0.17,-0.17,0.36,-0.54,50.96
Alaska,1974,23.7,,,31.7,15.6,,,,,33.22
Alaska,1975,23.0,,,30.8,15.3,,,,,33.22
Alaska,1976,25.8,,,33.7,17.9,,,,,36.63
Alaska,1977,27.0,,,34.7,19.3,,,,,35.14
Alaska,1978,29.1,,,36.7,21.5,,,,,34.85
Alaska,1979,27.6,,,35.2,20.0,,,,,37.26
Alaska,1980,26.5,,,33.8,19.1,,,,,38.48
Alaska,1981,29.2,,,36.5,21.9,,,,,40.29
Alaska,1982,25.3,,,32.5,18.1,,,,,35.07
Alaska,1983,26.9,,,34.1,19.6,,,,,31.95
Alaska,1984,25.3,,,32.9,17.6,,,,,33.03
Alaska,1985,26.3,,,33.8,18.8,,,,,39.7
Alaska,1986,26.9,,,34.6,19.2,,,,,37.7
Alaska,1987,27.5,,,35.1,20.0,,,,,39.37
Alaska,1988,27.1,,,34.6,19.7,,,,,38.17
Alaska,1989,26.8,,,34.3,19.2,,,,,37.52
Alaska,1990,25.4,,,33.3,17.5,,,,,39.07
Alaska,1991,27.0,,,34.7,19.3,,,,,38.7
Alaska,1992,25.0,,,32.6,17.5,,,,,38.54
Alaska,1993,29.9,,,37.4,22.4,,,,,39.25
Alaska,1994,26.2,,,33.7,18.7,,,,,39.17
Alaska,1995,27.8,,,35.1,20.4,,,,,31.29
Alaska,1996,25.1,,,33.1,17.1,,,,,31.64
Alaska,1997,28.1,,,36.0,20.3,,,,,35.81
Alaska,1998,28.4,,,35.6,21.3,,,,,36.54
Alaska,1999,24.0,,,31.8,16.3,,,,,40.29
Alaska,2000,28.4,,,35.6,21.1,,,,,40.08
Alaska,2001,27.3,,,34.8,19.9,,,,,37.5
Alaska,2002,30.1,,,37.6,22.5,,,,,40.52
Alaska,2003,29.1,,,36.7,21.5,,,,,39.0
Alaska,2004,29.3,,,37.1,21.6,,,,,38.74
Alaska,2005,29.2,,,36.8,21.5,,,,,40.36
Alaska,2006,26.4,,,33.8,19.0,,,,,38.71
Alaska,2007,28.1,,,35.7,20.5,,,,,34.09
Alaska,2008,25.1,,,32.7,17.5,,,,,37.09
Alaska,2009,26.8,,,34.6,18.9,,,,,35.21
Alaska,2010,27.4,,,34.9,20.0,,,,,33.85
Alaska,2011,27.0,,,34.6,19.3,,,,,38.74
Alaska,2012,24.3,,,31.8,16.8,,,,,37.28
Alaska,2013,27.8,,,35.5,20.1,,,,,40.81
Alaska,2014,30.3,,,37.8,22.8,,,,,36.75
Alaska,2015,30.0,,,37.4,22.7,,,,,40.1
Alaska,2016,31.9,,,39.3,24.5,,,,,37.07
Alaska,2017,29.3,,,36.9,21.7,,,,,38.06
Alaska,2018,30.4,,,37.5,23.4,,,,,37.9
Alaska,2019,32.2,,,39.5,24.8,,,,,38.0
Alaska,2020,27.5,,,35.0,20.0,,,,,37.94
Alaska,2021,26.5,,,33.9,19.1,,,,,38.68
Alaska,2022,28.6,,,36.0,21.3,,,,,42.99
Alaska,2023,28.4,,,35.7,21.2,,,,,42.19
Arizona,1974,59.5,2817.0,2282.0,73.9,45.1,-3.37,-3.37,-3.37,-0.67,10.99
Arizona,1975,57.9,2477.0,2498.0,72.5,43.3,-1.83,-1.83,-1.82,-0.35,10.16
Arizona,1976,59.0,2534.0,2166.0,73.5,44.5,-1.72,-1.72,-1.72,-0.31,11.62
Arizona,1977,60.2,2855.0,2018.0,74.5,45.9,-2.35,-2.35,-2.35,-0.89,10.61
Arizona,1978,59.8,2840.0,2161.0,73.3,46.3,2.7,2.7,1.48,2.0,20.13
Arizona,1979,58.8,2733.0,2372.0,73.2,44.4,6.12,6.12,5.84,1.13,12.21
Arizona,1980,60.2,2740.0,1892.0,74.5,46.0,-0.52,3.99,3.29,0.76,13.58
Arizona,1981,61.3,2987.0,1782.0,75.4,47.3,-2.39,-2.39,-2.39,-0.66,12.47
Arizona,1982,58.7,2536.0,2248.0,72.0,45.4,1.18,1.18,1.18,0.82,16.52
Arizona,1983,59.2,2633.0,2231.0,72.3,46.1,5.72,5.72,5.72,2.33,18.97
Arizona,1984,59.4,2710.0,2192.0,73.3,45.6,2.11,2.11,2.11,0.28,15.88
Arizona,1985,59.6,2770.0,2217.0,73.4,45.7,2.35,2.35,1.18,0.98,13.9
Arizona,1986,60.6,2724.0,1787.0,74.4,46.7,0.38,-0.83,-0.05,-0.09,13.87
Arizona,1987,59.3,2837.0,2259.0,73.2,45.4,-0.32,-0.32,-0.32,0.26,13.28
Arizona,1988,60.2,2904.0,2025.0,74.5,45.9,1.83,1.83,1.83,0.07,12.64
Arizona,1989,61.2,3091.0,1851.0,76.3,46.2,-3.87,-3.87,-3.87,-1.7,7.67
Arizona,1990,59.7,2810.0,2163.0,73.8,45.7,1.04,-2.17,-0.78,-0.13,14.08
Arizona,1991,59.3,2616.0,2142.0,73.1,45.4,-0.87,0.74,-0.62,0.31,12.91
Arizona,1992,59.6,2818.0,2176.0,73.1,46.1,5.27,5.27,5.27,1.77,18.15
Arizona,1993,59.8,2739.0,2061.0,73.7,45.9,-0.25,5.39,4.91,1.58,16.77
Arizona,1994,60.6,3035.0,2118.0,74.7,46.4,-2.77,-2.77,-2.77,-0.5,12.45
Arizona,1995,61.0,2894.0,1811.0,75.2,46.8,-0.81,2.08,0.95,0.23,11.44
Arizona,1996,61.9,3106.0,1716.0,76.4,47.4,-5.19,-5.19,-5.19,-1.63,8.74
Arizona,1997,60.5,3068.0,2005.0,74.5,46.5,0.01,-3.78,-3.71,-0.52,12.71
Arizona,1998,59.3,2677.0,2255.0,73.2,45.3,-0.4,3.13,2.61,1.05,14.44
Arizona,1999,60.8,2850.0,1823.0,75.7,45.9,1.53,-1.04,0.97,-1.09,10.37
Arizona,2000,61.7,3188.0,1945.0,76.1,47.3,-4.49,-4.49,-4.29,-1.08,11.13
Arizona,2001,61.2,3238.0,2084.0,75.5,46.9,-0.61,-0.61,-0.61,-0.48,10.79
Arizona,2002,61.2,3113.0,1968.0,76.0,46.3,-6.2,-6.2,-6.2,-1.87,6.97
Arizona,2003,61.9,3227.0,1857.0,76.2,47.6,-3.88,-3.88,-3.88,-0.95,10.51
Arizona,2004,60.4,2937.0,2009.0,74.2,46.6,-4.37,-4.37,-4.37,-0.39,13.52
Arizona,2005,61.1,3004.0,1860.0,75.1,47.2,-0.17,4.2,3.85,0.79,13.09
Arizona,2006,61.1,3083.0,1909.0,75.7,46.6,-3.49,-3.49,-3.05,-1.25,9.76
Arizona,2007,61.6,3249.0,1929.0,75.9,47.3,-4.11,-4.11,-4.11,-1.22,10.99
Arizona,2008,60.6,2998.0,1970.0,74.9,46.3,-0.6,-0.6,0.97,0.02,12.31
Arizona,2009,61.1,3118.0,1864.0,75.5,46.6,-4.06,-4.06,-4.06,-1.62,7.03
Arizona,2010,60.4,2942.0,2005.0,74.2,46.5,-0.27,1.78,1.36,0.61,13.91
Arizona,2011,60.3,3124.0,2152.0,74.8,45.9,-3.48,-3.48,-3.48,-1.1,9.63
Arizona,2012,62.1,3214.0,1750.0,76.8,47.4,-3.43,-3.43,-2.82,-1.37,9.56
Arizona,2013,60.5,3065.0,2063.0,74.6,46.3,-2.57,-2.57,-1.56,-0.39,12.13
Arizona,2014,62.3,3117.0,1578.0,76.5,48.0,-3.34,-3.34,-2.33,-1.21,11.07
Arizona,2015,61.8,3129.0,1778.0,75.5,48.0,0.24,-1.49,-0.86,-0.16,14.39
Arizona,2016,62.2,3219.0,1624.0,76.4,47.9,-2.39,-2.39,-1.91,-0.91,12.28
Arizona,2017,63.0,3338.0,1473.0,77.5,48.5,-1.28,-1.28,-0.93,-1.01,9.47
Arizona,2018,62.3,3246.0,1733.0,76.5,48.0,-4.49,-4.49,-4.08,-1.1,11.67
Arizona,2019,60.3,2975.0,2087.0,74.2,46.4,-1.91,-1.91,-1.91,0.47,14.69
Arizona,2020,62.6,3557.0,1834.0,77.7,47.5,-2.57,-2.57,-2.57,-1.2,6.56
Arizona,2021,62.1,3152.0,1723.0,76.4,47.8,-3.14,-3.14,-1.4,-0.84,12.57
Arizona,2022,61.2,3187.0,2061.0,75.5,46.9,0.96,-2.8,-1.57,-0.74,12.07
Arizona,2023,60.8,3170.0,2063.0,75.0,46.4,-1.37,-1.37,-1.37,-0.11,11.06
Arkansas,1974,60.3,1437.0,3317.0,71.0,49.5,3.8,3.8,3.8,1.01,58.81
Arkansas,1975,59.9,1522.0,3543.0,70.8,49.0,3.7,3.7,3.7,0.54,53.46
Arkansas,1976,58.8,1285.0,3734.0,70.6,46.9,-0.31,-0.31,-0.31,-0.32,41.03
Arkansas,1977,60.8,1971.0,3690.0,72.1,49.4,-1.71,-1.71,-1.67,-0.45,46.41
Arkansas,1978,58.9,1802.0,4185.0,70.2,47.6,-0.88,-0.88,-0.22,-0.14,49.27
Arkansas,1979,58.0,1424.0,4143.0,68.8,47.2,3.64,3.64,3.64,1.15,60.26
Arkansas,1980,60.5,2105.0,3855.0,72.3,48.7,-3.06,-3.06,-3.06,-0.96,40.1
Arkansas,1981,60.2,1637.0,3546.0,71.5,48.9,1.71,1.71,1.71,-0.27,43.09
Arkansas,1982,60.0,1595.0,3604.0,70.8,49.1,0.83,0.83,0.83,0.68,57.8
Arkansas,1983,58.9,1677.0,4085.0,69.6,48.1,-1.07,-1.07,-1.07,-0.27,46.51
Arkansas,1984,60.1,1531.0,3524.0,71.1,49.0,0.6,0.6,0.6,0.94,61.18
Arkansas,1985,59.8,1687.0,3768.0,70.7,48.9,-0.95,0.55,-0.94,-0.12,48.93
Arkansas,1986,61.5,1839.0,3296.0,72.5,50.5,-0.37,-0.91,-0.19,-0.31,46.39
Arkansas,1987,61.0,1819.0,3432.0,72.6,49.5,-1.93,-1.93,-1.93,0.03,53.1
Arkansas,1988,59.8,1674.0,3757.0,71.7,47.8,-2.04,-2.04,-2.04,-0.42,46.03
Arkansas,1989,59.0,1386.0,3753.0,69.9,48.0,3.3,3.3,3.3,0.49,51.35
Arkansas,1990,61.8,1734.0,3066.0,73.2,50.5,1.15,1.15,-0.6,1.05,66.91
Arkansas,1991,61.3,1797.0,3308.0,71.7,50.9,1.48,1.48,0.51,0.73,61.52
Arkansas,1992,59.9,1329.0,3369.0,70.5,49.2,2.03,2.03,2.03,0.32,48.26
Arkansas,1993,59.3,1695.0,3962.0,69.9,48.7,-1.02,-1.02,-1.02,0.23,52.04
Arkansas,1994,60.4,1518.0,3372.0,71.1,49.7,1.9,1.9,1.9,0.56,54.39
Arkansas,1995,60.5,1659.0,3503.0,71.7,49.2,-0.9,-0.9,-0.9,-0.6,42.85
Arkansas,1996,59.6,1577.0,3770.0,70.4,48.7,0.92,-0.88,0.53,0.46,51.76
Arkansas,1997,59.7,1539.0,3670.0,70.4,49.0,2.01,2.01,1.44,0.33,51.93
Arkansas,1998,63.1,2217.0,3083.0,73.6,52.6,-2.36,-2.36,-2.36,-0.55,49.17
Arkansas,1999,62.2,1791.0,3002.0,73.9,50.4,-1.75,-1.75,-1.75,-0.72,43.8
Arkansas,2000,60.9,1880.0,3565.0,72.0,49.8,-2.66,-2.66,-2.66,-0.52,45.7
Arkansas,2001,61.2,1780.0,3322.0,72.2,50.3,-1.7,-1.7,-1.7,0.27,55.41
Arkansas,2002,60.6,1749.0,3546.0,71.1,50.0,-0.44,1.05,0.11,0.17,52.83
Arkansas,2003,60.3,1608.0,3493.0,71.0,49.6,1.07,1.07,1.03,-0.23,44.84
Arkansas,2004,61.0,1587.0,3199.0,71.4,50.7,1.62,1.62,1.62,0.72,57.02
Arkansas,2005,62.0,1902.0,3180.0,73.3,50.6,-2.4,-2.4,-2.4,-1.42,35.75
Arkansas,2006,62.0,1827.0,3051.0,73.6,50.4,-3.52,-3.52,-3.52,-0.34,49.33
Arkansas,2007,61.8,1901.0,3226.0,72.6,51.0,-1.62,-1.62,-1.51,-0.42,46.7
Arkansas,2008,59.9,1587.0,3654.0,70.8,48.9,2.52,2.52,2.52,1.15,60.48
Arkansas,2009,59.9,1492.0,3552.0,70.1,49.7,3.36,3.36,3.36,1.98,72.2
Arkansas,2010,61.2,2167.0,3724.0,72.3,50.0,-2.11,0.69,-1.99,-1.22,38.79
Arkansas,2011,61.8,2029.0,3369.0,73.1,50.6,-2.47,-2.47,-2.04,-0.09,55.84
Arkansas,2012,63.6,2139.0,2751.0,75.2,52.1,-3.57,-3.57,-3.47,-1.34,39.81
Arkansas,2013,59.6,1622.0,3747.0,70.2,49.0,0.86,0.86,0.86,0.49,54.24
Arkansas,2014,58.7,1511.0,3974.0,69.2,48.1,1.86,1.86,1.86,0.28,47.91
Arkansas,2015,61.4,1856.0,3326.0,71.9,50.9,2.05,2.05,2.05,1.13,67.31
Arkansas,2016,62.8,1991.0,2990.0,73.5,52.1,2.89,2.89,2.89,-0.15,50.44
Arkansas,2017,62.5,1670.0,2761.0,73.3,51.8,2.75,2.75,2.75,0.01,50.26
Arkansas,2018,61.2,2037.0,3623.0,71.5,50.8,0.89,-0.75,0.6,0.91,64.32
Arkansas,2019,61.2,1866.0,3454.0,71.6,50.9,4.96,4.96,4.96,1.4,65.65
Arkansas,2020,61.2,1604.0,3190.0,71.3,51.0,4.58,4.58,4.58,1.32,63.82
Arkansas,2021,61.4,1784.0,3254.0,72.0,50.7,3.1,3.1,3.1,0.06,50.23
Arkansas,2022,61.2,1937.0,3508.0,72.6,49.6,-0.31,-0.31,0.39,-0.07,51.69
Arkansas,2023,62.9,1931.0,2878.0,74.0,51.9,-0.02,1.06,0.72,0.04,52.37
California,1974,57.6,751.0,3300.0,70.2,45.1,-0.48,1.17,0.24,-0.12,21.35
California,1975,56.3,597.0,3613.0,68.7,43.8,1.25,1.25,0.89,0.07,20.94
California,1976,57.5,651.0,3037.0,70.5,44.4,-3.19,-3.19,-2.77,-1.52,11.75
California,1977,58.0,738.0,3056.0,70.6,45.4,0.34,-5.31,-4.88,-1.43,17.53
California,1978,57.6,748.0,3142.0,69.6,45.6,2.32,2.32,1.73,0.78,28.86
California,1979,57.7,781.0,3204.0,70.1,45.3,0.37,0.37,0.37,0.21,24.63
California,1980,58.1,664.0,2939.0,70.5,45.6,-0.16,1.98,1.71,0.22,24.12
California,1981,59.3,914.0,2816.0,71.6,47.0,-2.64,-2.64,-2.64,0.08,26.24
California,1982,56.3,640.0,3431.0,67.9,44.7,3.07,3.07,3.07,1.66,31.99
California,1983,57.6,814.0,3056.0,68.6,46.5,6.45,6.45,6.45,2.5,42.46
California,1984,58.2,1047.0,3057.0,70.4,46.0,0.5,1.76,-0.36,-0.27,18.32
California,1985,57.3,786.0,3277.0,69.9,44.7,-3.27,-3.27,-3.27,-0.99,14.7
California,1986,58.9,683.0,2724.0,71.2,46.5,-1.09,-1.09,-1.09,-0.06,24.25
California,1987,58.3,722.0,3025.0,70.8,45.8,-3.4,-3.4,-3.4,-0.99,19.7
California,1988,58.8,800.0,2896.0,71.7,45.8,-1.32,-1.32,-0.01,-0.48,17.1
California,1989,58.1,724.0,2936.0,71.1,45.1,-2.08,-2.08,-2.08,-0.75,14.95
California,1990,58.0,863.0,3075.0,70.9,45.0,-2.54,-2.54,-2.3,-1.34,13.99
California,1991,58.1,738.0,3029.0,70.8,45.5,-1.3,-1.3,1.07,-0.45,19.79
California,1992,59.3,960.0,2721.0,71.5,47.1,-2.86,-2.86,-2.86,-0.66,23.23
California,1993,57.7,725.0,2920.0,69.8,45.5,2.89,2.89,2.89,0.61,26.7
California,1994,58.0,859.0,3163.0,70.6,45.4,-2.41,-2.41,-2.41,-0.74,17.54
California,1995,58.9,814.0,2735.0,71.0,46.9,5.71,5.71,5.71,1.72,35.2
California,1996,59.6,941.0,2655.0,72.0,47.2,2.16,2.16,1.59,1.04,32.51
California,1997,59.1,960.0,2667.0,71.5,46.8,-2.86,-2.86,-2.86,-0.55,20.6
California,1998,56.7,779.0,3416.0,68.3,45.2,6.6,6.6,6.6,2.43,36.41
California,1999,58.0,698.0,3058.0,70.8,45.1,0.52,2.21,1.66,-0.45,17.63
California,2000,58.8,831.0,2836.0,71.3,46.3,-0.79,-1.18,-0.82,-0.38,21.43
California,2001,59.1,932.0,2970.0,71.7,46.5,-2.89,-2.89,-2.89,-0.63,23.02
California,2002,58.9,830.0,2952.0,72.0,45.7,-3.28,-3.28,-3.28,-0.85,18.68
California,2003,59.4,1057.0,2840.0,71.9,47.0,-0.01,1.23,1.04,-0.08,21.63
California,2004,58.9,857.0,2848.0,71.4,46.3,-3.23,-3.23,-3.23,-0.57,21.76
California,2005,58.6,813.0,2820.0,70.8,46.4,4.08,4.08,3.99,1.34,30.1
California,2006,58.6,1010.0,3021.0,71.3,46.0,-1.1,1.88,0.36,-0.06,23.61
California,2007,58.9,888.0,2882.0,72.0,45.8,-4.42,-4.42,-4.42,-1.55,13.83
California,2008,58.9,1018.0,2868.0,71.9,46.0,-4.2,-4.2,-4.2,-1.19,17.85
California,2009,58.8,965.0,2887.0,71.7,45.9,-3.28,-3.28,-3.28,-0.88,17.05
California,2010,57.7,703.0,3092.0,69.8,45.7,1.53,1.53,1.16,1.16,31.18
California,2011,57.4,774.0,3187.0,70.0,44.9,3.5,3.5,3.5,0.24,18.79
California,2012,59.5,1019.0,2748.0,72.5,46.5,-1.58,-1.58,-0.99,-0.33,23.45
California,2013,59.3,963.0,2712.0,72.6,46.1,-3.23,-3.23,-3.23,-1.86,7.93
California,2014,61.5,1173.0,2095.0,74.2,48.7,-6.35,-6.35,-6.35,-1.69,19.9
California,2015,60.8,1157.0,2347.0,73.4,48.1,-4.75,-4.75,-4.75,-1.39,15.04
California,2016,60.1,1023.0,2445.0,72.5,47.7,-2.55,-2.55,-2.55,0.08,25.73
California,2017,60.3,1167.0,2449.0,72.7,48.0,-0.98,1.54,0.08,0.17,28.17
California,2018,60.1,1101.0,2546.0,72.7,47.5,-2.71,-2.71,-2.71,-0.99,18.09
California,2019,58.4,896.0,2950.0,70.4,46.4,-0.34,2.06,1.51,0.69,29.12
California,2020,60.5,1206.0,2570.0,73.6,47.5,-1.83,-1.83,-1.83,-1.39,12.07
California,2021,60.4,1146.0,2689.0,73.1,47.6,-6.87,-6.87,-6.87,-1.47,18.93
California,2022,60.1,1205.0,2672.0,73.3,46.8,-4.79,-4.79,-4.79,-1.36,14.1
California,2023,58.2,849.0,3123.0,70.1,46.2,-0.24,2.11,1.36,0.44,27.14
Colorado,1974,44.4,224.0,7459.0,58.6,30.2,-2.29,-2.29,-2.29,-0.67,14.61
Colorado,1975,43.5,209.0,7752.0,57.5,29.5,-0.33,0.99,0.37,0.14,16.54
Colorado,1976,44.7,230.0,7398.0,59.1,30.4,-1.22,-1.22,-1.22,-0.66,14.56
Colorado,1977,46.3,333.0,6993.0,60.3,32.2,-3.96,-3.96,-3.88,-1.7,15.83
Colorado,1978,44.5,263.0,7658.0,58.0,31.0,-2.48,-2.48,-2.48,-0.2,17.86
Colorado,1979,43.5,211.0,7858.0,57.1,29.9,3.49,3.49,3.49,0.98,19.3
Colorado,1980,45.6,360.0,7305.0,59.4,31.8,-1.5,2.08,0.13,0.23,17.81
Colorado,1981,47.1,288.0,6679.0,60.8,33.4,-3.45,-3.45,-3.1,-1.11,18.79
Colorado,1982,44.1,236.0,7660.0,57.3,30.9,1.78,1.78,1.78,0.7,19.84
Colorado,1983,44.4,318.0,7760.0,57.1,31.7,4.5,4.5,4.5,1.56,21.92
Colorado,1984,43.7,269.0,7808.0,56.6,30.7,4.49,4.49,4.49,1.42,20.55
Colorado,1985,44.1,245.0,7789.0,57.3,30.9,2.79,2.79,1.78,1.1,20.51
Colorado,1986,46.3,251.0,6881.0,59.7,33.0,2.8,2.8,2.8,0.86,19.83
Colorado,1987,45.3,239.0,7241.0,58.9,31.6,3.49,3.49,3.49,0.72,18.82
Colorado,1988,45.1,340.0,7364.0,59.1,31.1,-0.3,1.13,0.53,0.01,16.74
Colorado,1989,45.4,247.0,7289.0,59.5,31.2,-2.28,-2.28,-2.28,-1.17,14.74
Colorado,1990,45.6,267.0,7203.0,59.2,32.0,-2.44,-2.44,-1.74,-0.36,19.9
Colorado,1991,45.1,245.0,7229.0,58.6,31.5,1.03,1.03,1.03,0.09,18.65
Colorado,1992,45.3,141.0,7137.0,58.7,31.9,2.19,2.19,2.19,0.36,18.53
Colorado,1993,43.8,168.0,7780.0,57.0,30.7,2.7,2.7,2.7,1.08,19.9
Colorado,1994,46.5,366.0,6851.0,60.4,32.6,-1.56,-1.56,-1.56,-0.3,17.13
Colorado,1995,45.7,264.0,7217.0,59.2,32.2,4.51,4.51,4.44,1.23,21.79
Colorado,1996,45.8,272.0,7191.0,59.7,31.8,0.74,0.74,-0.53,0.35,19.85
Colorado,1997,44.8,262.0,7452.0,58.1,31.6,3.82,3.82,3.82,1.59,22.24
Colorado,1998,46.3,319.0,6966.0,59.6,32.9,3.32,3.32,3.32,0.55,18.77
Colorado,1999,46.6,266.0,6766.0,60.7,32.6,4.29,4.29,4.29,0.58,20.03
Colorado,2000,47.0,418.0,6877.0,61.0,33.0,-3.22,-3.22,-3.22,-0.9,16.91
Colorado,2001,46.9,398.0,6876.0,60.8,32.9,-2.38,-2.38,-2.38,-0.97,16.81
Colorado,2002,46.1,445.0,7230.0,60.5,31.6,-9.09,-9.09,-9.09,-2.65,11.85
Colorado,2003,47.0,412.0,6843.0,61.0,33.1,-4.88,-4.88,-4.88,-1.09,16.44
Colorado,2004,45.8,159.0,6961.0,59.5,32.2,0.16,-3.06,-2.68,-0.28,18.93
Colorado,2005,46.8,330.0,6832.0,60.6,32.9,-0.4,1.0,0.21,0.32,18.95
Colorado,2006,46.5,374.0,6923.0,60.6,32.5,0.3,-3.09,-2.67,-0.55,18.67
Colorado,2007,46.2,405.0,7156.0,60.0,32.3,0.19,0.79,0.1,0.02,18.71
