Year,State,Commodity,ACRES HARVESTED,"PRODUCTION, MEASURED IN $",YIELD
1974,TEXAS,WHEAT,3300000.0,52800000.0,16.0
1974,UTAH,WHEAT,295000.0,7982000.0,27.1
1974,VIRGINIA,WHEAT,275000.0,10175000.0,37.0
1974,WASHINGTON,WHEAT,3130000.0,123550000.0,39.5
1974,WEST VIRGINIA,WHEAT,12000.0,396000.0,33.0
1974,WISCONSIN,WHEAT,78000.0,2853000.0,36.6
1974,WYOMING,WHEAT,306000.0,7290000.0,23.8
1975,ALABAMA,WHEAT,110000.0,2640000.0,24.0
1975,ARIZONA,WHEAT,260000.0,18200000.0,70.0
1975,ARKANSAS,WHEAT,450000.0,13500000.0,30.0
1975,CALIFORNIA,WHEAT,1001000.0,61241000.0,61.2
1975,COLORADO,WHEAT,2498000.0,56499000.0,22.6
1975,DELAWARE,WHEAT,45000.0,1530000.0,34.0
1975,FLORIDA,WHEAT,13000.0,325000.0,25.0
1975,GEORGIA,WHEAT,135000.0,3645000.0,27.0
1975,IDAHO,WHEAT,1420000.0,63220000.0,44.5
1975,ILLINOIS,WHEAT,1730000.0,67470000.0,39.0
1975,INDIANA,WHEAT,1400000.0,61600000.0,44.0
1975,IOWA,WHEAT,100000.0,3400000.0,34.0
1975,KANSAS,WHEAT,12100000.0,350900000.0,29.0
1975,KENTUCKY,WHEAT,320000.0,10880000.0,34.0
1975,LOUISIANA,WHEAT,20000.0,320000.0,16.0
1975,MARYLAND,WHEAT,142000.0,4828000.0,34.0
1975,MICHIGAN,WHEAT,900000.0,34200000.0,38.0
1975,MINNESOTA,WHEAT,2867000.0,88368000.0,30.8
1975,MISSISSIPPI,WHEAT,122000.0,2928000.0,24.0
1975,MISSOURI,WHEAT,1520000.0,50160000.0,33.0
1975,MONTANA,WHEAT,4975000.0,155925000.0,31.3
1975,NEBRASKA,WHEAT,3070000.0,98240000.0,32.0
1975,NEVADA,WHEAT,31000.0,1820000.0,58.7
1975,NEW JERSEY,WHEAT,58000.0,2088000.0,36.0
1975,NEW MEXICO,WHEAT,440000.0,11440000.0,26.0
1975,NEW YORK,WHEAT,205000.0,8200000.0,40.0
1975,NORTH CAROLINA,WHEAT,275000.0,8525000.0,31.0
1975,NORTH DAKOTA,WHEAT,10213000.0,264392000.0,25.9
1975,OHIO,WHEAT,1680000.0,70560000.0,42.0
1975,OKLAHOMA,WHEAT,6700000.0,160800000.0,24.0
1975,OREGON,WHEAT,1255000.0,58040000.0,46.2
1975,PENNSYLVANIA,WHEAT,317000.0,10144000.0,32.0
1975,SOUTH CAROLINA,WHEAT,130000.0,3510000.0,27.0
1975,SOUTH DAKOTA,WHEAT,2965000.0,62610000.0,21.1
1975,TENNESSEE,WHEAT,270000.0,8370000.0,31.0
1975,TEXAS,WHEAT,5700000.0,131100000.0,23.0
1975,UTAH,WHEAT,288000.0,7362000.0,25.6
1975,VIRGINIA,WHEAT,278000.0,8618000.0,31.0
1975,WASHINGTON,WHEAT,3060000.0,147880000.0,48.3
1975,WEST VIRGINIA,WHEAT,11000.0,352000.0,32.0
1975,WISCONSIN,WHEAT,93000.0,2820000.0,30.3
1975,WYOMING,WHEAT,332000.0,8277000.0,24.9
1976,ALABAMA,WHEAT,105000.0,2835000.0,27.0
1976,ARIZONA,WHEAT,431000.0,32325000.0,75.0
1976,ARKANSAS,WHEAT,630000.0,24570000.0,39.0
1976,CALIFORNIA,WHEAT,940000.0,59720000.0,63.5
1976,COLORADO,WHEAT,2440000.0,53440000.0,21.9
1976,DELAWARE,WHEAT,32000.0,1120000.0,35.0
1976,FLORIDA,WHEAT,14000.0,420000.0,30.0
1976,GEORGIA,WHEAT,115000.0,3565000.0,31.0
1976,IDAHO,WHEAT,1525000.0,72850000.0,47.8
1976,ILLINOIS,WHEAT,1850000.0,72150000.0,39.0
1976,INDIANA,WHEAT,1500000.0,54000000.0,36.0
1976,IOWA,WHEAT,130000.0,4550000.0,35.0
1976,KANSAS,WHEAT,11300000.0,339000000.0,30.0
1976,KENTUCKY,WHEAT,330000.0,10230000.0,31.0
1976,LOUISIANA,WHEAT,32000.0,1056000.0,33.0
1976,MARYLAND,WHEAT,112000.0,4256000.0,38.0
1976,MICHIGAN,WHEAT,870000.0,33060000.0,38.0
1976,MINNESOTA,WHEAT,4056000.0,130482000.0,32.2
1976,MISSISSIPPI,WHEAT,120000.0,3480000.0,29.0
1976,MISSOURI,WHEAT,1840000.0,60720000.0,33.0
1976,MONTANA,WHEAT,5415000.0,167295000.0,30.9
1976,NEBRASKA,WHEAT,2950000.0,94400000.0,32.0
1976,NEVADA,WHEAT,31000.0,1677000.0,54.1
1976,NEW JERSEY,WHEAT,50000.0,2100000.0,42.0
1976,NEW MEXICO,WHEAT,262000.0,6825000.0,26.0
1976,NEW YORK,WHEAT,175000.0,6650000.0,38.0
1976,NORTH CAROLINA,WHEAT,240000.0,6960000.0,29.0
1976,NORTH DAKOTA,WHEAT,11655000.0,287830000.0,24.7
1976,OHIO,WHEAT,1600000.0,64000000.0,40.0
1976,OKLAHOMA,WHEAT,6300000.0,151200000.0,24.0
1976,OREGON,WHEAT,1333000.0,60301000.0,45.2
1976,PENNSYLVANIA,WHEAT,275000.0,8250000.0,30.0
1976,SOUTH CAROLINA,WHEAT,125000.0,3250000.0,26.0
1976,SOUTH DAKOTA,WHEAT,2990000.0,39520000.0,13.2
1976,TENNESSEE,WHEAT,300000.0,11100000.0,37.0
1976,TEXAS,WHEAT,4700000.0,103400000.0,22.0
1976,UTAH,WHEAT,280000.0,6918000.0,24.7
1976,VIRGINIA,WHEAT,240000.0,7680000.0,32.0
1976,WASHINGTON,WHEAT,3200000.0,144050000.0,45.0
1976,WEST VIRGINIA,WHEAT,11000.0,352000.0,32.0
1976,WISCONSIN,WHEAT,93000.0,3238000.0,34.8
1976,WYOMING,WHEAT,330000.0,7955000.0,24.1
1977,ALABAMA,WHEAT,110000.0,3080000.0,28.0
1977,ARIZONA,WHEAT,140000.0,10080000.0,72.0
1977,ARKANSAS,WHEAT,660000.0,25740000.0,39.0
1977,CALIFORNIA,WHEAT,660000.0,42548000.0,64.5
1977,COLORADO,WHEAT,2576000.0,57374000.0,22.3
1977,DELAWARE,WHEAT,29000.0,870000.0,30.0
1977,FLORIDA,WHEAT,13000.0,377000.0,29.0
1977,GEORGIA,WHEAT,100000.0,3300000.0,33.0
1977,IDAHO,WHEAT,1340000.0,57900000.0,43.2
1977,ILLINOIS,WHEAT,1570000.0,67510000.0,43.0
1977,INDIANA,WHEAT,1240000.0,55800000.0,45.0
1977,IOWA,WHEAT,109000.0,4033000.0,37.0
1977,KANSAS,WHEAT,12100000.0,344850000.0,28.5
1977,KENTUCKY,WHEAT,274000.0,10138000.0,37.0
1977,LOUISIANA,WHEAT,38000.0,1292000.0,34.0
1977,MARYLAND,WHEAT,99000.0,3564000.0,36.0
1977,MICHIGAN,WHEAT,825000.0,33000000.0,40.0
1977,MINNESOTA,WHEAT,3327000.0,131894000.0,39.6
1977,MISSISSIPPI,WHEAT,105000.0,3570000.0,34.0
1977,MISSOURI,WHEAT,1850000.0,72150000.0,39.0
1977,MONTANA,WHEAT,5060000.0,130920000.0,25.9
1977,NEBRASKA,WHEAT,2950000.0,103250000.0,35.0
1977,NEVADA,WHEAT,26000.0,1440000.0,55.4
1977,NEW JERSEY,WHEAT,38000.0,1178000.0,31.0
1977,NEW MEXICO,WHEAT,425000.0,9137000.0,21.5
1977,NEW YORK,WHEAT,175000.0,6825000.0,39.0
1977,NORTH CAROLINA,WHEAT,200000.0,6000000.0,30.0
1977,NORTH DAKOTA,WHEAT,9254000.0,229907000.0,24.8
1977,OHIO,WHEAT,1540000.0,72380000.0,47.0
1977,OKLAHOMA,WHEAT,6500000.0,175500000.0,27.0
1977,OREGON,WHEAT,1230000.0,47620000.0,38.7
1977,PENNSYLVANIA,WHEAT,245000.0,8085000.0,33.0
1977,SOUTH CAROLINA,WHEAT,85000.0,2465000.0,29.0
1977,SOUTH DAKOTA,WHEAT,3016000.0,71964000.0,23.9
1977,TENNESSEE,WHEAT,280000.0,10080000.0,36.0
1977,TEXAS,WHEAT,4700000.0,117500000.0,25.0
1977,UTAH,WHEAT,245000.0,5665000.0,23.1
1977,VIRGINIA,WHEAT,201000.0,6231000.0,31.0
1977,WASHINGTON,WHEAT,2985000.0,101305000.0,33.9
1977,WEST VIRGINIA,WHEAT,10000.0,310000.0,31.0
1977,WISCONSIN,WHEAT,75000.0,3075000.0,41.0
1977,WYOMING,WHEAT,281000.0,5620000.0,20.0
1978,ALABAMA,WHEAT,90000.0,2340000.0,26.0
1978,ARIZONA,WHEAT,138000.0,9660000.0,70.0
1978,ARKANSAS,WHEAT,300000.0,11100000.0,37.0
1978,CALIFORNIA,WHEAT,665000.0,42725000.0,64.2
1978,COLORADO,WHEAT,2523000.0,59283000.0,23.5
1978,DELAWARE,WHEAT,17000.0,595000.0,35.0
1978,FLORIDA,WHEAT,12000.0,432000.0,36.0
1978,GEORGIA,WHEAT,120000.0,3840000.0,32.0
1978,IDAHO,WHEAT,1370000.0,75370000.0,55.0
1978,ILLINOIS,WHEAT,880000.0,33440000.0,38.0
1978,INDIANA,WHEAT,740000.0,28860000.0,39.0
1978,IOWA,WHEAT,45000.0,1395000.0,31.0
1978,KANSAS,WHEAT,10000000.0,300000000.0,30.0
1978,KENTUCKY,WHEAT,180000.0,6480000.0,36.0
1978,LOUISIANA,WHEAT,15000.0,540000.0,36.0
1978,MARYLAND,WHEAT,80000.0,2960000.0,37.0
1978,MICHIGAN,WHEAT,410000.0,16400000.0,40.0
1978,MINNESOTA,WHEAT,2776000.0,93225000.0,33.6
1978,MISSISSIPPI,WHEAT,65000.0,2015000.0,31.0
1978,MISSOURI,WHEAT,840000.0,28560000.0,34.0
1978,MONTANA,WHEAT,4840000.0,146050000.0,30.2
1978,NEBRASKA,WHEAT,2550000.0,81600000.0,32.0
1978,NEVADA,WHEAT,22000.0,1310000.0,59.5
1978,NEW JERSEY,WHEAT,25000.0,900000.0,36.0
1978,NEW MEXICO,WHEAT,336000.0,6048000.0,18.0
1978,NEW YORK,WHEAT,75000.0,2625000.0,35.0
1978,NORTH CAROLINA,WHEAT,180000.0,5940000.0,33.0
1978,NORTH DAKOTA,WHEAT,9585000.0,286065000.0,29.8
1978,OHIO,WHEAT,1080000.0,42120000.0,39.0
1978,OKLAHOMA,WHEAT,5400000.0,145800000.0,27.0
1978,OREGON,WHEAT,1225000.0,51925000.0,42.4
1978,PENNSYLVANIA,WHEAT,215000.0,7095000.0,33.0
1978,SOUTH CAROLINA,WHEAT,65000.0,2145000.0,33.0
1978,SOUTH DAKOTA,WHEAT,3090000.0,66000000.0,21.4
1978,TENNESSEE,WHEAT,180000.0,6300000.0,35.0
1978,TEXAS,WHEAT,2700000.0,54000000.0,20.0
1978,UTAH,WHEAT,270000.0,8103000.0,30.0
1978,VIRGINIA,WHEAT,133000.0,4655000.0,35.0
1978,WASHINGTON,WHEAT,2910000.0,128160000.0,44.0
1978,WEST VIRGINIA,WHEAT,9000.0,297000.0,33.0
1978,WISCONSIN,WHEAT,45000.0,1560000.0,34.7
1978,WYOMING,WHEAT,294000.0,7606000.0,25.9
1979,ALABAMA,WHEAT,145000.0,3770000.0,26.0
1979,ARIZONA,WHEAT,125000.0,9540000.0,76.3
1979,ARKANSAS,WHEAT,420000.0,14700000.0,35.0
1979,CALIFORNIA,WHEAT,800000.0,56450000.0,70.6
1979,COLORADO,WHEAT,2641000.0,70224000.0,26.6
1979,DELAWARE,WHEAT,21000.0,714000.0,34.0
1979,GEORGIA,WHEAT,175000.0,6125000.0,35.0
1979,IDAHO,WHEAT,1470000.0,74140000.0,50.4
1979,ILLINOIS,WHEAT,1250000.0,53750000.0,43.0
1979,INDIANA,WHEAT,945000.0,44415000.0,47.0
1979,IOWA,WHEAT,60000.0,2220000.0,37.0
1979,KANSAS,WHEAT,10800000.0,410400000.0,38.0
1979,KENTUCKY,WHEAT,290000.0,11020000.0,38.0
1979,LOUISIANA,WHEAT,26000.0,728000.0,28.0
1979,MARYLAND,WHEAT,90000.0,3330000.0,37.0
1979,MICHIGAN,WHEAT,735000.0,31605000.0,43.0
1979,MINNESOTA,WHEAT,2578000.0,90384000.0,35.1
1979,MISSISSIPPI,WHEAT,115000.0,3680000.0,32.0
1979,MISSOURI,WHEAT,1600000.0,70400000.0,44.0
1979,MONTANA,WHEAT,5125000.0,116475000.0,22.7
1979,NEBRASKA,WHEAT,2550000.0,86700000.0,34.0
1979,NEVADA,WHEAT,24000.0,1420000.0,59.2
1979,NEW JERSEY,WHEAT,41000.0,1476000.0,36.0
1979,NEW MEXICO,WHEAT,410000.0,9020000.0,22.0
1979,NEW YORK,WHEAT,160000.0,6560000.0,41.0
1979,NORTH CAROLINA,WHEAT,210000.0,7560000.0,36.0
1979,NORTH DAKOTA,WHEAT,9600000.0,252235000.0,26.3
1979,OHIO,WHEAT,1320000.0,63360000.0,48.0
1979,OKLAHOMA,WHEAT,5700000.0,216600000.0,38.0
1979,OREGON,WHEAT,1245000.0,57310000.0,46.0
1979,PENNSYLVANIA,WHEAT,235000.0,7285000.0,31.0
1979,SOUTH CAROLINA,WHEAT,100000.0,3300000.0,33.0
1979,SOUTH DAKOTA,WHEAT,2805000.0,60060000.0,21.4
1979,TENNESSEE,WHEAT,250000.0,8500000.0,34.0
1979,TEXAS,WHEAT,4600000.0,138000000.0,30.0
1979,UTAH,WHEAT,282000.0,7448000.0,26.4
1979,VIRGINIA,WHEAT,180000.0,6300000.0,35.0
1979,WASHINGTON,WHEAT,2980000.0,118000000.0,39.6
1979,WEST VIRGINIA,WHEAT,10000.0,340000.0,34.0
1979,WISCONSIN,WHEAT,54000.0,2162000.0,40.0
1979,WYOMING,WHEAT,287000.0,6354000.0,22.1
1980,ALABAMA,WHEAT,260000.0,6630000.0,25.5
1980,ARIZONA,WHEAT,215000.0,17200000.0,80.0
1980,ARKANSAS,WHEAT,865000.0,32870000.0,38.0
1980,CALIFORNIA,WHEAT,1150000.0,85500000.0,74.3
1980,COLORADO,WHEAT,3400000.0,110300000.0,32.4
1980,DELAWARE,WHEAT,27000.0,1080000.0,40.0
1980,GEORGIA,WHEAT,600000.0,19800000.0,33.0
1980,IDAHO,WHEAT,1550000.0,96030000.0,62.0
1980,ILLINOIS,WHEAT,1570000.0,76930000.0,49.0
1980,INDIANA,WHEAT,1100000.0,53900000.0,49.0
1980,IOWA,WHEAT,92000.0,3496000.0,38.0
1980,KANSAS,WHEAT,12000000.0,420000000.0,35.0
1980,KENTUCKY,WHEAT,350000.0,13825000.0,39.5
1980,LOUISIANA,WHEAT,67000.0,1876000.0,28.0
1980,MARYLAND,WHEAT,97000.0,3686000.0,38.0
1980,MICHIGAN,WHEAT,800000.0,35200000.0,44.0
1980,MINNESOTA,WHEAT,3169000.0,102556000.0,32.4
1980,MISSISSIPPI,WHEAT,300000.0,9300000.0,31.0
1980,MISSOURI,WHEAT,2070000.0,89010000.0,43.0
1980,MONTANA,WHEAT,5100000.0,119800000.0,23.5
1980,NEBRASKA,WHEAT,2850000.0,108300000.0,38.0
1980,NEVADA,WHEAT,29000.0,1800000.0,62.1
1980,NEW JERSEY,WHEAT,43000.0,1849000.0,43.0
1980,NEW MEXICO,WHEAT,500000.0,10500000.0,21.0
1980,NEW YORK,WHEAT,150000.0,6000000.0,40.0
1980,NORTH CAROLINA,WHEAT,400000.0,14000000.0,35.0
1980,NORTH DAKOTA,WHEAT,9620000.0,179650000.0,18.7
1980,OHIO,WHEAT,1370000.0,67130000.0,49.0
1980,OKLAHOMA,WHEAT,6500000.0,195000000.0,30.0
1980,OREGON,WHEAT,1350000.0,77400000.0,57.3
1980,PENNSYLVANIA,WHEAT,250000.0,9250000.0,37.0
1980,SOUTH CAROLINA,WHEAT,192000.0,6912000.0,36.0
1980,SOUTH DAKOTA,WHEAT,3245000.0,62425000.0,19.2
1980,TENNESSEE,WHEAT,490000.0,18620000.0,38.0
1980,TEXAS,WHEAT,5200000.0,130000000.0,25.0
1980,UTAH,WHEAT,272000.0,8942000.0,32.9
1980,VIRGINIA,WHEAT,286000.0,10582000.0,37.0
1980,WASHINGTON,WHEAT,3160000.0,160220000.0,50.7
1980,WEST VIRGINIA,WHEAT,10000.0,380000.0,38.0
1980,WISCONSIN,WHEAT,111000.0,4365000.0,39.3
1980,WYOMING,WHEAT,315000.0,8620000.0,27.4
1981,ALABAMA,WHEAT,565000.0,24860000.0,44.0
1981,ARIZONA,WHEAT,258000.0,21844000.0,84.7
1981,ARKANSAS,WHEAT,1650000.0,67650000.0,41.0
1981,CALIFORNIA,WHEAT,1345000.0,105545000.0,78.5
1981,COLORADO,WHEAT,3108000.0,87877000.0,28.3
1981,DELAWARE,WHEAT,48000.0,1920000.0,40.0
1981,GEORGIA,WHEAT,1070000.0,46010000.0,43.0
1981,IDAHO,WHEAT,1510000.0,89780000.0,59.5
1981,ILLINOIS,WHEAT,1950000.0,97500000.0,50.0
1981,INDIANA,WHEAT,1300000.0,59800000.0,46.0
1981,IOWA,WHEAT,125000.0,4875000.0,39.0
1981,KANSAS,WHEAT,12100000.0,302500000.0,25.0
1981,KENTUCKY,WHEAT,680000.0,28560000.0,42.0
1981,LOUISIANA,WHEAT,275000.0,11550000.0,42.0
1981,MARYLAND,WHEAT,137000.0,5617000.0,41.0
1981,MICHIGAN,WHEAT,830000.0,41500000.0,50.0
1981,MINNESOTA,WHEAT,3510000.0,140025000.0,39.9
1981,MISSISSIPPI,WHEAT,600000.0,24000000.0,40.0
1981,MISSOURI,WHEAT,2750000.0,115500000.0,42.0
1981,MONTANA,WHEAT,5820000.0,172830000.0,29.7
1981,NEBRASKA,WHEAT,2900000.0,104400000.0,36.0
1981,NEVADA,WHEAT,31000.0,1850000.0,59.7
1981,NEW JERSEY,WHEAT,56000.0,2352000.0,42.0
1981,NEW MEXICO,WHEAT,500000.0,11000000.0,22.0
1981,NEW YORK,WHEAT,160000.0,7040000.0,44.0
1981,NORTH CAROLINA,WHEAT,550000.0,21450000.0,39.0
1981,NORTH DAKOTA,WHEAT,11570000.0,328260000.0,28.4
1981,OHIO,WHEAT,1600000.0,70400000.0,44.0
1981,OKLAHOMA,WHEAT,6400000.0,172800000.0,27.0
1981,OREGON,WHEAT,1260000.0,74330000.0,59.0
1981,PENNSYLVANIA,WHEAT,240000.0,8640000.0,36.0
1981,SOUTH CAROLINA,WHEAT,410000.0,14350000.0,35.0
1981,SOUTH DAKOTA,WHEAT,3820000.0,88970000.0,23.3
1981,TENNESSEE,WHEAT,850000.0,37400000.0,44.0
1981,TEXAS,WHEAT,6550000.0,183400000.0,28.0
1981,UTAH,WHEAT,265000.0,9340000.0,35.2
1981,VIRGINIA,WHEAT,390000.0,17160000.0,44.0
1981,WASHINGTON,WHEAT,3050000.0,168350000.0,55.2
1981,WEST VIRGINIA,WHEAT,9000.0,324000.0,36.0
1981,WISCONSIN,WHEAT,121000.0,5518000.0,45.6
1981,WYOMING,WHEAT,279000.0,8280000.0,29.7
1982,ALABAMA,WHEAT,725000.0,23200000.0,32.0
1982,ARIZONA,WHEAT,143000.0,12407000.0,86.8
1982,ARKANSAS,WHEAT,1900000.0,72200000.0,38.0
1982,CALIFORNIA,WHEAT,1075000.0,77175000.0,71.8
1982,COLORADO,WHEAT,2958000.0,84984000.0,28.7
1982,DELAWARE,WHEAT,58000.0,2320000.0,40.0
1982,GEORGIA,WHEAT,1370000.0,45210000.0,33.0
1982,IDAHO,WHEAT,1510000.0,94770000.0,62.8
1982,ILLINOIS,WHEAT,1500000.0,67500000.0,45.0
1982,INDIANA,WHEAT,1030000.0,43260000.0,42.0
1982,IOWA,WHEAT,100000.0,3000000.0,30.0
1982,KANSAS,WHEAT,13100000.0,458500000.0,35.0
1982,KENTUCKY,WHEAT,620000.0,23560000.0,38.0
1982,LOUISIANA,WHEAT,500000.0,19000000.0,38.0
1982,MARYLAND,WHEAT,136000.0,5712000.0,42.0
1982,MICHIGAN,WHEAT,560000.0,22960000.0,41.0
1982,MINNESOTA,WHEAT,3184000.0,126809000.0,39.8
1982,MISSISSIPPI,WHEAT,950000.0,36100000.0,38.0
1982,MISSOURI,WHEAT,2200000.0,74800000.0,34.0
1982,MONTANA,WHEAT,5360000.0,180320000.0,33.6
1982,NEBRASKA,WHEAT,2900000.0,101500000.0,35.0
1982,NEVADA,WHEAT,29000.0,1890000.0,65.2
1982,NEW JERSEY,WHEAT,45000.0,1800000.0,40.0
1982,NEW MEXICO,WHEAT,510000.0,12750000.0,25.0
1982,NEW YORK,WHEAT,125000.0,5438000.0,43.5
1982,NORTH CAROLINA,WHEAT,650000.0,23400000.0,36.0
1982,NORTH DAKOTA,WHEAT,10300000.0,324835000.0,31.5
1982,OHIO,WHEAT,1200000.0,51600000.0,43.0
1982,OKLAHOMA,WHEAT,6900000.0,227700000.0,33.0
1982,OREGON,WHEAT,1200000.0,63500000.0,52.9
1982,PENNSYLVANIA,WHEAT,228000.0,8208000.0,36.0
1982,SOUTH CAROLINA,WHEAT,550000.0,19800000.0,36.0
1982,SOUTH DAKOTA,WHEAT,3595000.0,98530000.0,27.4
1982,TENNESSEE,WHEAT,830000.0,29880000.0,36.0
1982,TEXAS,WHEAT,6000000.0,144000000.0,24.0
1982,UTAH,WHEAT,266000.0,9273000.0,34.9
1982,VIRGINIA,WHEAT,350000.0,13300000.0,38.0
1982,WASHINGTON,WHEAT,2840000.0,138880000.0,48.9
1982,WEST VIRGINIA,WHEAT,9000.0,315000.0,35.0
1982,WISCONSIN,WHEAT,122000.0,5596000.0,45.9
1982,WYOMING,WHEAT,309000.0,8985000.0,29.1
1983,ALABAMA,WHEAT,460000.0,15180000.0,33.0
1983,ARIZONA,WHEAT,119000.0,11094000.0,93.2
1983,ARKANSAS,WHEAT,1500000.0,58500000.0,39.0
1983,CALIFORNIA,WHEAT,680000.0,46560000.0,68.5
1983,COLORADO,WHEAT,3063000.0,122103000.0,39.9
1983,DELAWARE,WHEAT,54000.0,2106000.0,39.0
1983,GEORGIA,WHEAT,910000.0,30940000.0,34.0
1983,IDAHO,WHEAT,1305000.0,91710000.0,70.3
1983,ILLINOIS,WHEAT,1400000.0,64400000.0,46.0
1983,INDIANA,WHEAT,970000.0,49470000.0,51.0
1983,IOWA,WHEAT,50000.0,1900000.0,38.0
1983,KANSAS,WHEAT,10800000.0,448200000.0,41.5
1983,KENTUCKY,WHEAT,520000.0,16120000.0,31.0
1983,LOUISIANA,WHEAT,250000.0,7500000.0,30.0
1983,MARYLAND,WHEAT,131000.0,5371000.0,41.0
1983,MICHIGAN,WHEAT,730000.0,35770000.0,49.0
1983,MINNESOTA,WHEAT,2140000.0,78960000.0,36.9
1983,MISSISSIPPI,WHEAT,600000.0,20400000.0,34.0
1983,MISSOURI,WHEAT,1850000.0,70300000.0,38.0
1983,MONTANA,WHEAT,4455000.0,136930000.0,30.7
1983,NEBRASKA,WHEAT,2300000.0,98900000.0,43.0
1983,NEVADA,WHEAT,18000.0,1260000.0,70.0
1983,NEW JERSEY,WHEAT,38000.0,1520000.0,40.0
1983,NEW MEXICO,WHEAT,470000.0,13630000.0,29.0
1983,NEW YORK,WHEAT,160000.0,7360000.0,46.0
1983,NORTH CAROLINA,WHEAT,470000.0,15980000.0,34.0
1983,NORTH DAKOTA,WHEAT,7205000.0,194130000.0,26.9
1983,OHIO,WHEAT,1200000.0,58800000.0,49.0
1983,OKLAHOMA,WHEAT,4300000.0,150500000.0,35.0
1983,OREGON,WHEAT,1085000.0,65570000.0,60.4
1983,PENNSYLVANIA,WHEAT,200000.0,7600000.0,38.0
1983,SOUTH CAROLINA,WHEAT,375000.0,10500000.0,28.0
1983,SOUTH DAKOTA,WHEAT,2727000.0,89729000.0,32.9
1983,TENNESSEE,WHEAT,600000.0,19800000.0,33.0
1983,TEXAS,WHEAT,4600000.0,161000000.0,35.0
1983,UTAH,WHEAT,217000.0,8027000.0,37.0
1983,VIRGINIA,WHEAT,340000.0,14280000.0,42.0
1983,WASHINGTON,WHEAT,2690000.0,172570000.0,64.2
1983,WEST VIRGINIA,WHEAT,9000.0,378000.0,42.0
1983,WISCONSIN,WHEAT,128000.0,5812000.0,45.4
1983,WYOMING,WHEAT,271000.0,8964000.0,33.1
1984,ALABAMA,WHEAT,380000.0,14820000.0,39.0
1984,ARIZONA,WHEAT,142000.0,12780000.0,90.0
1984,ARKANSAS,WHEAT,1400000.0,61600000.0,44.0
1984,CALIFORNIA,WHEAT,784000.0,61840000.0,78.9
1984,COLORADO,WHEAT,3270000.0,115020000.0,35.2
1984,DELAWARE,WHEAT,49000.0,2009000.0,41.0
1984,GEORGIA,WHEAT,890000.0,31150000.0,35.0
1984,IDAHO,WHEAT,1280000.0,81400000.0,63.6
1984,ILLINOIS,WHEAT,1600000.0,70400000.0,44.0
1984,INDIANA,WHEAT,1050000.0,48300000.0,46.0
1984,IOWA,WHEAT,100000.0,3600000.0,36.0
1984,KANSAS,WHEAT,11200000.0,431200000.0,38.5
1984,KENTUCKY,WHEAT,500000.0,19000000.0,38.0
1984,LOUISIANA,WHEAT,320000.0,13120000.0,41.0
1984,MARYLAND,WHEAT,140000.0,6020000.0,43.0
1984,MICHIGAN,WHEAT,800000.0,45600000.0,57.0
1984,MINNESOTA,WHEAT,2553000.0,120711000.0,47.3
1984,MISSISSIPPI,WHEAT,660000.0,25080000.0,38.0
