Year,State,Commodity,ACRES HARVESTED,"PRODUCTION, MEASURED IN $",YIELD,January-December Average Temperature (Units Degrees Fahrenheit),January-December Cooling Degree Days (Units Fahrenheit Degree-Days),January-December Heating Degree Days (Units Fahrenheit Degree-Days),January-December Maximum Temperature (Units Degrees Fahrenheit),January-December Minimum Temperature (Units Degrees Fahrenheit),August Palmer Drought Severity Index (PDSI),August Palmer Hydrological Drought Index (PHDI),August Palmer Modified Drought Index (PMDI),January-December Palmer Z-Index,January-December Precipitation (Units Inches)
1974,louisiana,WHEAT,20000.0,400000.0,20.0,66.5,2386.0,1538.0,77.0,56.1,2.51,2.51,2.33,0.83,66.68
1974,maryland,WHEAT,148000.0,5624000.0,38.0,54.2,807.0,4665.0,64.6,43.9,-0.58,-0.58,-0.58,-0.28,40.13
1974,michigan,WHEAT,850000.0,34000000.0,40.0,43.3,436.0,7225.0,53.3,33.3,1.73,1.73,1.73,0.49,32.51
1974,minnesota,WHEAT,2794000.0,80862000.0,28.9,40.2,404.0,9007.0,50.9,29.4,-0.09,1.89,1.47,-0.2,23.53
1974,mississippi,WHEAT,130000.0,3250000.0,25.0,63.5,1837.0,2274.0,74.9,52.0,3.66,3.66,3.66,1.25,69.24
1974,missouri,WHEAT,1310000.0,37990000.0,29.0,54.4,1045.0,5040.0,65.4,43.5,2.73,2.73,2.73,0.46,42.66
1974,montana,WHEAT,4857000.0,120108000.0,24.7,42.4,148.0,8640.0,54.6,30.2,0.84,1.99,1.61,0.31,18.69
1974,nebraska,WHEAT,2900000.0,98600000.0,34.0,49.2,933.0,6334.0,62.6,35.9,-0.79,1.89,0.65,-0.46,15.56
1974,nevada,WHEAT,29000.0,1500000.0,51.7,50.1,2101.0,3764.0,63.9,36.4,-2.8,-2.8,-2.8,-0.85,7.97
1974,new jersey,WHEAT,54000.0,2160000.0,40.0,52.1,621.0,5469.0,62.3,41.9,0.35,0.35,-0.39,0.0,44.0
1974,new mexico,WHEAT,200000.0,3400000.0,17.0,52.8,780.0,4890.0,67.9,37.6,0.55,-3.18,-2.48,-0.13,14.84
1974,new york,WHEAT,210000.0,9030000.0,43.0,44.2,452.0,6451.0,54.2,34.2,1.62,1.62,1.62,0.58,42.27
1974,north carolina,WHEAT,275000.0,9900000.0,36.0,59.0,1127.0,3235.0,70.3,47.8,1.9,1.9,1.9,0.54,52.28
1974,north dakota,WHEAT,10316000.0,210752000.0,20.4,39.9,426.0,9575.0,51.8,28.0,-0.49,1.91,0.98,0.09,15.62
1974,ohio,WHEAT,1450000.0,59450000.0,41.0,50.4,565.0,5937.0,60.5,40.3,1.93,1.93,1.93,0.63,40.5
1974,oklahoma,WHEAT,6400000.0,134400000.0,21.0,59.6,1707.0,3573.0,71.7,47.5,2.45,2.45,2.35,0.91,39.58
1974,oregon,WHEAT,1265000.0,52745000.0,41.7,47.0,194.0,5546.0,58.7,35.4,-1.29,1.18,-0.62,-0.41,31.96
1974,pennsylvania,WHEAT,320000.0,11520000.0,36.0,48.2,485.0,5945.0,58.5,37.8,1.62,1.62,1.62,0.48,43.45
1974,south carolina,WHEAT,136000.0,3604000.0,26.5,63.0,1624.0,2398.0,74.8,51.2,1.18,1.18,1.18,0.32,47.93
1974,south dakota,WHEAT,3095000.0,57020000.0,18.4,46.0,664.0,7559.0,59.3,32.6,-2.2,-2.2,-2.2,-1.24,13.05
1974,tennessee,WHEAT,285000.0,8265000.0,29.0,57.7,1064.0,3669.0,68.8,46.5,3.79,3.79,3.79,1.13,61.69
1974,texas,WHEAT,3300000.0,52800000.0,16.0,64.5,2443.0,1915.0,76.9,52.1,1.67,-0.91,1.22,0.62,31.88
1974,utah,WHEAT,295000.0,7982000.0,27.1,47.7,449.0,7358.0,60.8,34.6,-3.23,-3.23,-3.23,-1.05,9.73
1974,virginia,WHEAT,275000.0,10175000.0,37.0,55.3,814.0,,66.4,44.1,0.84,1.08,0.35,0.14,42.31
1974,washington,WHEAT,3130000.0,123550000.0,39.5,46.7,130.0,5851.0,56.7,36.8,-0.27,2.74,2.35,0.39,47.29
1974,west virginia,WHEAT,12000.0,396000.0,33.0,51.8,549.0,5107.0,62.7,41.0,2.17,2.17,1.69,0.48,47.04
1974,wisconsin,WHEAT,78000.0,2853000.0,36.6,42.2,382.0,7946.0,52.5,31.8,-0.16,1.15,0.15,-0.05,28.98
1974,wyoming,WHEAT,306000.0,7290000.0,23.8,41.2,208.0,8540.0,54.5,28.0,-1.72,0.76,-1.52,-0.41,12.92
1975,alabama,WHEAT,110000.0,2640000.0,24.0,62.8,1659.0,2687.0,74.1,51.6,4.54,4.54,4.54,1.86,74.76
1975,arizona,WHEAT,260000.0,18200000.0,70.0,57.9,2477.0,2498.0,72.5,43.3,-1.83,-1.83,-1.82,-0.35,10.16
1975,arkansas,WHEAT,450000.0,13500000.0,30.0,59.9,1522.0,3543.0,70.8,49.0,3.7,3.7,3.7,0.54,53.46
1975,california,WHEAT,1001000.0,61241000.0,61.2,56.3,597.0,3613.0,68.7,43.8,1.25,1.25,0.89,0.07,20.94
1975,colorado,WHEAT,2498000.0,56499000.0,22.6,43.5,209.0,7752.0,57.5,29.5,-0.33,0.99,0.37,0.14,16.54
1975,delaware,WHEAT,45000.0,1530000.0,34.0,55.2,958.0,4614.0,64.9,45.5,2.33,2.33,1.89,1.17,53.85
1975,florida,WHEAT,13000.0,325000.0,25.0,71.2,3442.0,575.0,82.0,60.4,1.01,1.01,0.42,0.24,55.15
1975,georgia,WHEAT,135000.0,3645000.0,27.0,63.7,1520.0,2797.0,75.1,52.4,3.09,3.09,2.85,1.31,61.35
1975,idaho,WHEAT,1420000.0,63220000.0,44.5,41.2,384.0,7717.0,52.0,30.4,2.68,2.68,2.68,1.41,29.12
1975,illinois,WHEAT,1730000.0,67470000.0,39.0,52.0,845.0,6252.0,61.8,42.2,2.39,2.39,2.39,0.56,40.74
1975,indiana,WHEAT,1400000.0,61600000.0,44.0,52.0,891.0,5721.0,61.8,42.1,2.24,2.24,2.24,0.73,44.7
1975,iowa,WHEAT,100000.0,3400000.0,34.0,47.4,843.0,7148.0,57.8,37.0,-0.75,0.8,-0.47,-0.23,30.06
1975,kansas,WHEAT,12100000.0,350900000.0,29.0,53.7,1358.0,5203.0,66.2,41.2,-0.22,1.99,1.56,0.28,26.17
1975,kentucky,WHEAT,320000.0,10880000.0,34.0,55.8,1114.0,4490.0,66.4,45.2,2.32,2.32,1.17,1.13,56.95
1975,louisiana,WHEAT,20000.0,320000.0,16.0,66.1,2335.0,1671.0,76.6,55.6,4.95,4.95,4.95,1.07,66.76
1975,maryland,WHEAT,142000.0,4828000.0,34.0,54.6,958.0,4701.0,64.3,44.9,2.38,2.38,2.33,1.31,53.76
1975,michigan,WHEAT,900000.0,34200000.0,38.0,44.6,527.0,6949.0,54.5,34.7,3.33,3.33,3.33,1.21,36.64
1975,minnesota,WHEAT,2867000.0,88368000.0,30.8,40.1,489.0,9139.0,50.7,29.6,-0.68,1.07,-0.01,0.41,27.98
1975,mississippi,WHEAT,122000.0,2928000.0,24.0,63.3,1894.0,2406.0,74.3,52.3,4.9,4.9,4.9,1.36,68.53
1975,missouri,WHEAT,1520000.0,50160000.0,33.0,54.6,1231.0,5130.0,65.5,43.8,0.37,1.6,0.66,0.28,41.83
1975,montana,WHEAT,4975000.0,155925000.0,31.3,39.3,142.0,9703.0,50.6,28.1,4.65,4.65,4.65,2.2,25.42
1975,nebraska,WHEAT,3070000.0,98240000.0,32.0,47.7,1012.0,6854.0,60.3,35.1,-1.44,-1.44,-1.4,-0.38,20.47
1975,nevada,WHEAT,31000.0,1820000.0,58.7,48.3,1819.0,4031.0,61.3,35.2,2.47,2.47,2.47,0.68,10.62
1975,new jersey,WHEAT,58000.0,2088000.0,36.0,52.8,704.0,5289.0,62.4,43.2,2.91,2.91,2.77,1.28,57.66
1975,new mexico,WHEAT,440000.0,11440000.0,26.0,51.4,636.0,5258.0,66.7,36.0,2.0,2.0,1.04,0.46,12.94
1975,new york,WHEAT,205000.0,8200000.0,40.0,45.5,526.0,6138.0,55.3,35.7,2.13,2.13,2.13,0.93,45.97
1975,north carolina,WHEAT,275000.0,8525000.0,31.0,59.3,1353.0,3361.0,70.5,48.2,1.83,1.83,0.79,0.9,57.54
1975,north dakota,WHEAT,10213000.0,264392000.0,25.9,39.4,448.0,9690.0,50.4,28.4,4.27,4.27,4.27,1.54,21.26
1975,ohio,WHEAT,1680000.0,70560000.0,42.0,51.1,758.0,5839.0,61.0,41.3,2.05,2.05,1.77,0.97,42.92
1975,oklahoma,WHEAT,6700000.0,160800000.0,24.0,58.7,1638.0,3799.0,70.6,46.7,4.33,4.33,4.33,0.7,35.6
1975,oregon,WHEAT,1255000.0,58040000.0,46.2,45.8,130.0,5832.0,56.4,35.2,1.57,1.57,1.57,0.69,36.39
1975,pennsylvania,WHEAT,317000.0,10144000.0,32.0,48.9,604.0,5856.0,58.8,39.0,2.4,2.4,2.4,1.18,50.22
1975,south carolina,WHEAT,130000.0,3510000.0,27.0,63.1,1805.0,2529.0,74.4,51.9,2.85,2.85,2.32,1.14,58.23
1975,south dakota,WHEAT,2965000.0,62610000.0,21.1,44.0,737.0,8222.0,56.0,31.9,-0.59,0.59,-0.53,0.09,18.34
1975,tennessee,WHEAT,270000.0,8370000.0,31.0,57.8,1257.0,3821.0,68.8,46.8,2.68,2.68,1.75,1.05,62.4
1975,texas,WHEAT,5700000.0,131100000.0,23.0,63.8,2333.0,1968.0,76.4,51.1,5.2,5.2,5.2,0.85,27.27
1975,utah,WHEAT,288000.0,7362000.0,25.6,45.7,338.0,8040.0,58.3,33.2,-0.09,3.16,2.99,0.75,13.67
1975,virginia,WHEAT,278000.0,8618000.0,31.0,55.4,993.0,,66.2,44.5,2.21,2.21,1.78,1.17,52.06
1975,washington,WHEAT,3060000.0,147880000.0,48.3,45.2,115.0,6286.0,54.7,35.7,1.18,1.18,1.18,0.9,50.92
1975,west virginia,WHEAT,11000.0,352000.0,32.0,52.3,769.0,5176.0,62.9,41.6,2.11,2.11,1.71,0.92,51.04
1975,wisconsin,WHEAT,93000.0,2820000.0,30.3,42.6,504.0,7850.0,53.1,32.1,0.74,0.74,0.74,0.24,32.48
1975,wyoming,WHEAT,332000.0,8277000.0,24.9,39.4,200.0,9108.0,52.0,26.9,2.0,2.0,1.87,0.73,17.05
1976,alabama,WHEAT,105000.0,2835000.0,27.0,60.7,1424.0,3275.0,72.9,48.4,2.65,2.65,2.28,0.41,55.98
1976,arizona,WHEAT,431000.0,32325000.0,75.0,59.0,2534.0,2166.0,73.5,44.5,-1.72,-1.72,-1.72,-0.31,11.62
1976,arkansas,WHEAT,630000.0,24570000.0,39.0,58.8,1285.0,3734.0,70.6,46.9,-0.31,-0.31,-0.31,-0.32,41.03
1976,california,WHEAT,940000.0,59720000.0,63.5,57.5,651.0,3037.0,70.5,44.4,-3.19,-3.19,-2.77,-1.52,11.75
1976,colorado,WHEAT,2440000.0,53440000.0,21.9,44.7,230.0,7398.0,59.1,30.4,-1.22,-1.22,-1.22,-0.66,14.56
1976,delaware,WHEAT,32000.0,1120000.0,35.0,53.8,855.0,5077.0,64.4,43.1,-2.65,-2.65,-2.65,-0.5,38.43
1976,florida,WHEAT,14000.0,420000.0,30.0,69.0,2961.0,861.0,80.0,58.0,-0.92,0.75,-0.65,0.24,51.63
1976,georgia,WHEAT,115000.0,3565000.0,31.0,61.5,1259.0,3366.0,73.7,49.3,1.77,1.77,1.41,1.0,55.61
1976,idaho,WHEAT,1525000.0,72850000.0,47.8,42.1,315.0,7417.0,54.3,29.9,2.52,2.52,2.52,-0.39,20.29
1976,illinois,WHEAT,1850000.0,72150000.0,39.0,50.4,703.0,6825.0,61.8,39.0,-1.34,-1.34,-1.34,-0.83,28.54
1976,indiana,WHEAT,1500000.0,54000000.0,36.0,50.0,669.0,6260.0,61.3,38.7,0.15,0.15,-0.27,-0.41,32.61
1976,iowa,WHEAT,130000.0,4550000.0,35.0,47.4,737.0,7198.0,59.4,35.3,-2.1,-2.1,-2.1,-1.23,23.59
1976,kansas,WHEAT,11300000.0,339000000.0,30.0,54.2,1301.0,5097.0,67.9,40.5,-1.29,-1.29,-1.29,-0.65,21.0
1976,kentucky,WHEAT,330000.0,10230000.0,31.0,53.3,785.0,5084.0,65.1,41.5,1.48,1.48,0.85,0.12,42.49
1976,louisiana,WHEAT,32000.0,1056000.0,33.0,64.3,2092.0,2107.0,75.8,52.9,-0.35,-1.04,-0.36,-0.25,49.51
1976,maryland,WHEAT,112000.0,4256000.0,38.0,53.2,815.0,5106.0,63.8,42.5,-2.02,-2.02,-2.02,-0.11,40.53
1976,michigan,WHEAT,870000.0,33060000.0,38.0,42.6,446.0,7593.0,53.5,31.8,-1.99,0.92,-1.58,-0.85,27.92
1976,minnesota,WHEAT,4056000.0,130482000.0,32.2,40.5,524.0,9133.0,52.8,28.2,-4.24,-4.24,-4.24,-2.21,15.87
1976,mississippi,WHEAT,120000.0,3480000.0,29.0,61.4,1672.0,2899.0,73.6,49.3,-0.7,1.13,-0.23,-0.15,50.2
1976,missouri,WHEAT,1840000.0,60720000.0,33.0,53.6,1059.0,5369.0,65.8,41.4,-1.56,-1.56,-1.56,-1.01,28.56
1976,montana,WHEAT,5415000.0,167295000.0,30.9,42.7,155.0,8614.0,55.2,30.2,4.08,4.08,4.08,0.25,16.84
1976,nebraska,WHEAT,2950000.0,94400000.0,32.0,49.0,993.0,6474.0,62.5,35.5,-2.48,-2.48,-2.48,-0.89,17.24
1976,nevada,WHEAT,31000.0,1677000.0,54.1,49.5,1742.0,3659.0,63.7,35.3,0.51,-1.3,-0.46,-0.42,9.9
1976,new jersey,WHEAT,50000.0,2100000.0,42.0,51.1,633.0,5873.0,61.7,40.5,-1.68,-1.68,-1.61,-0.54,38.66
1976,new mexico,WHEAT,262000.0,6825000.0,26.0,51.9,670.0,5143.0,67.3,36.4,-2.3,-2.3,-2.3,-0.77,11.38
1976,new york,WHEAT,175000.0,6650000.0,38.0,43.2,442.0,6767.0,53.5,32.9,4.53,4.53,4.53,1.38,47.81
1976,north carolina,WHEAT,240000.0,6960000.0,29.0,57.3,1069.0,3807.0,69.3,45.3,0.32,-1.36,-0.51,-0.13,45.95
1976,north dakota,WHEAT,11655000.0,287830000.0,24.7,41.3,541.0,9214.0,54.2,28.4,-2.49,-2.49,-2.49,-0.97,12.29
1976,ohio,WHEAT,1600000.0,64000000.0,40.0,48.9,520.0,6464.0,59.9,37.9,1.14,1.14,1.14,0.11,33.96
1976,oklahoma,WHEAT,6300000.0,151200000.0,24.0,58.6,1542.0,3807.0,71.9,45.4,-1.39,-1.39,-1.06,-0.65,26.71
1976,oregon,WHEAT,1333000.0,60301000.0,45.2,46.4,109.0,5723.0,58.2,34.7,1.19,1.19,1.19,-0.93,22.66
1976,pennsylvania,WHEAT,275000.0,8250000.0,30.0,46.8,476.0,6425.0,57.6,36.0,1.24,1.24,0.17,0.3,41.68
1976,south carolina,WHEAT,125000.0,3250000.0,26.0,60.9,1442.0,2995.0,73.0,48.9,1.54,1.54,0.84,0.78,51.61
1976,south dakota,WHEAT,2990000.0,39520000.0,13.2,46.2,847.0,7709.0,59.7,32.6,-4.17,-4.17,-4.17,-1.55,12.77
1976,tennessee,WHEAT,300000.0,11100000.0,37.0,55.5,960.0,4387.0,67.6,43.4,1.23,1.23,0.39,0.04,47.5
1976,texas,WHEAT,4700000.0,103400000.0,22.0,62.8,2119.0,2252.0,75.4,50.2,0.6,0.6,-0.35,0.23,30.65
1976,utah,WHEAT,280000.0,6918000.0,24.7,47.5,374.0,7517.0,61.1,33.9,-1.5,-1.5,-1.5,-0.96,9.18
1976,virginia,WHEAT,240000.0,7680000.0,32.0,53.8,815.0,,65.7,41.9,-2.17,-2.17,-2.17,-0.07,41.32
1976,washington,WHEAT,3200000.0,144050000.0,45.0,45.9,84.0,6037.0,55.8,36.0,2.31,2.31,2.31,-0.61,33.18
1976,west virginia,WHEAT,11000.0,352000.0,32.0,49.8,479.0,5811.0,61.6,38.0,0.09,-1.51,-1.14,0.13,41.98
1976,wisconsin,WHEAT,93000.0,3238000.0,34.8,41.4,487.0,8392.0,53.4,29.4,-3.13,-3.13,-3.13,-1.84,21.06
1976,wyoming,WHEAT,330000.0,7955000.0,24.1,41.3,226.0,8522.0,54.6,28.0,2.17,2.17,2.17,0.08,14.53
1977,alabama,WHEAT,110000.0,3080000.0,28.0,62.5,2020.0,3161.0,74.4,50.6,-1.96,-1.96,-1.96,0.01,57.87
1977,arizona,WHEAT,140000.0,10080000.0,72.0,60.2,2855.0,2018.0,74.5,45.9,-2.35,-2.35,-2.35,-0.89,10.61
1977,arkansas,WHEAT,660000.0,25740000.0,39.0,60.8,1971.0,3690.0,72.1,49.4,-1.71,-1.71,-1.67,-0.45,46.41
1977,california,WHEAT,660000.0,42548000.0,64.5,58.0,738.0,3056.0,70.6,45.4,0.34,-5.31,-4.88,-1.43,17.53
1977,colorado,WHEAT,2576000.0,57374000.0,22.3,46.3,333.0,6993.0,60.3,32.2,-3.96,-3.96,-3.88,-1.7,15.83
1977,delaware,WHEAT,29000.0,870000.0,30.0,54.6,1020.0,4942.0,64.8,44.5,-3.09,-3.09,-3.09,-0.55,40.5
1977,florida,WHEAT,13000.0,377000.0,29.0,69.4,3154.0,969.0,80.6,58.3,-2.7,-2.7,-2.48,-0.67,48.0
1977,georgia,WHEAT,100000.0,3300000.0,33.0,62.9,1780.0,3336.0,74.9,50.8,-0.03,-2.4,-2.38,-0.47,48.18
1977,idaho,WHEAT,1340000.0,57900000.0,43.2,43.0,433.0,7170.0,54.8,31.2,0.88,-3.37,-2.08,-0.7,24.01
1977,illinois,WHEAT,1570000.0,67510000.0,43.0,51.5,925.0,6560.0,61.7,41.2,1.45,-1.21,0.64,0.35,41.8
1977,indiana,WHEAT,1240000.0,55800000.0,45.0,51.0,1010.0,6199.0,61.4,40.7,1.53,1.53,1.53,0.37,42.36
1977,iowa,WHEAT,109000.0,4033000.0,37.0,48.4,947.0,6976.0,59.3,37.5,1.6,-3.5,-1.68,-0.28,36.59
1977,kansas,WHEAT,12100000.0,344850000.0,28.5,55.5,1587.0,4943.0,68.0,42.9,1.53,1.53,1.53,0.07,32.51
1977,kentucky,WHEAT,274000.0,10138000.0,37.0,54.8,1275.0,5027.0,65.9,43.7,1.36,1.36,1.36,0.35,48.52
1977,louisiana,WHEAT,38000.0,1292000.0,34.0,66.1,2632.0,2045.0,76.9,55.2,1.06,-0.57,1.03,0.03,59.42
1977,maryland,WHEAT,99000.0,3564000.0,36.0,53.9,1047.0,5010.0,64.2,43.6,-2.72,-2.72,-2.72,-0.55,39.67
1977,michigan,WHEAT,825000.0,33000000.0,40.0,44.0,525.0,7176.0,54.2,33.9,0.81,-2.99,-1.99,0.03,33.91
1977,minnesota,WHEAT,3327000.0,131894000.0,39.6,41.2,480.0,8756.0,51.7,30.6,0.67,-4.7,-3.9,0.11,33.93
1977,mississippi,WHEAT,105000.0,3570000.0,34.0,63.3,2276.0,2822.0,74.9,51.7,-1.72,-1.72,-1.72,-0.01,59.51
1977,missouri,WHEAT,1850000.0,72150000.0,39.0,54.9,1443.0,5312.0,65.6,44.1,0.72,-1.7,-0.64,0.22,44.31
1977,montana,WHEAT,5060000.0,130920000.0,25.9,41.6,131.0,8910.0,53.7,29.5,0.13,-4.1,-3.9,-0.9,18.93
1977,nebraska,WHEAT,2950000.0,103250000.0,35.0,49.8,1125.0,6276.0,62.3,37.3,2.41,2.41,2.41,0.65,28.9
1977,nevada,WHEAT,26000.0,1440000.0,55.4,50.3,2009.0,3551.0,64.2,36.5,-2.63,-2.63,-1.79,-1.11,9.89
1977,new jersey,WHEAT,38000.0,1178000.0,31.0,51.8,716.0,5677.0,62.1,41.6,0.0,-1.99,-1.93,0.09,48.53
1977,new mexico,WHEAT,425000.0,9137000.0,21.5,53.7,941.0,4743.0,68.8,38.6,-0.76,-0.76,-0.07,-0.44,13.22
1977,new york,WHEAT,175000.0,6825000.0,39.0,44.5,493.0,6457.0,54.3,34.8,1.98,1.98,1.0,1.31,50.06
1977,north carolina,WHEAT,200000.0,6000000.0,30.0,58.3,1508.0,3849.0,69.7,46.9,-2.24,-2.24,-2.24,-0.24,48.81
1977,north dakota,WHEAT,9254000.0,229907000.0,24.8,41.1,455.0,9187.0,52.6,29.5,0.06,-3.86,-3.73,0.13,21.31
1977,ohio,WHEAT,1540000.0,72380000.0,47.0,50.0,803.0,6312.0,60.5,39.5,0.73,-0.77,0.43,0.06,38.81
1977,oklahoma,WHEAT,6500000.0,175500000.0,27.0,60.7,2195.0,3658.0,73.0,48.4,-0.84,-0.84,0.19,-0.61,31.91
1977,oregon,WHEAT,1230000.0,47620000.0,38.7,47.0,195.0,5601.0,58.3,35.7,0.67,-2.87,-1.78,-0.24,31.61
1977,pennsylvania,WHEAT,245000.0,8085000.0,33.0,47.9,610.0,6216.0,58.3,37.5,0.84,0.84,0.84,0.6,46.69
1977,south carolina,WHEAT,85000.0,2465000.0,29.0,62.2,1987.0,3048.0,74.0,50.4,-2.19,-2.19,-2.19,-0.67,44.19
1977,south dakota,WHEAT,3016000.0,71964000.0,23.9,45.6,757.0,7735.0,57.5,33.6,0.58,-1.48,-0.37,1.0,25.04
1977,tennessee,WHEAT,280000.0,10080000.0,36.0,57.3,1527.0,4298.0,68.8,45.8,-0.87,-1.3,-1.24,0.43,56.2
1977,texas,WHEAT,4700000.0,117500000.0,25.0,65.3,2820.0,2102.0,77.9,52.6,-0.91,1.07,-0.32,-0.4,22.64
1977,utah,WHEAT,245000.0,5665000.0,23.1,48.9,463.0,7067.0,62.2,35.7,-4.85,-4.85,-4.76,-1.79,10.89
1977,virginia,WHEAT,201000.0,6231000.0,31.0,54.8,1144.0,,66.0,43.5,-3.15,-3.15,-3.15,-0.66,39.75
1977,washington,WHEAT,2985000.0,101305000.0,33.9,46.2,159.0,6037.0,56.1,36.4,0.79,-2.19,-1.06,0.01,41.56
1977,west virginia,WHEAT,10000.0,310000.0,31.0,50.9,776.0,5677.0,62.1,39.7,0.62,-1.38,-0.39,-0.34,41.54
1977,wisconsin,WHEAT,75000.0,3075000.0,41.0,42.9,503.0,7918.0,53.5,32.4,1.0,-4.27,-3.03,-0.29,36.24
1977,wyoming,WHEAT,281000.0,5620000.0,20.0,42.0,251.0,8289.0,55.2,28.8,-4.03,-4.03,-3.69,-1.41,15.35
1978,alabama,WHEAT,90000.0,2340000.0,26.0,61.9,1935.0,3317.0,73.9,49.8,-0.37,0.88,0.12,-0.42,49.5
1978,arizona,WHEAT,138000.0,9660000.0,70.0,59.8,2840.0,2161.0,73.3,46.3,2.7,2.7,1.48,2.0,20.13
1978,arkansas,WHEAT,300000.0,11100000.0,37.0,58.9,1802.0,4185.0,70.2,47.6,-0.88,-0.88,-0.22,-0.14,49.27
1978,california,WHEAT,665000.0,42725000.0,64.2,57.6,748.0,3142.0,69.6,45.6,2.32,2.32,1.73,0.78,28.86
1978,colorado,WHEAT,2523000.0,59283000.0,23.5,44.5,263.0,7658.0,58.0,31.0,-2.48,-2.48,-2.48,-0.2,17.86
1978,delaware,WHEAT,17000.0,595000.0,35.0,52.9,897.0,5422.0,62.9,42.9,2.28,2.28,2.28,0.2,46.39
1978,florida,WHEAT,12000.0,432000.0,36.0,69.7,3272.0,922.0,80.5,59.0,-0.17,1.71,1.41,-0.04,53.33
1978,georgia,WHEAT,120000.0,3840000.0,32.0,62.6,1699.0,3369.0,74.5,50.6,-0.63,-0.63,-0.63,-0.74,42.88
1978,idaho,WHEAT,1370000.0,75370000.0,55.0,42.4,298.0,7209.0,53.7,31.0,1.86,1.86,1.86,0.02,23.24
1978,illinois,WHEAT,880000.0,33440000.0,38.0,49.6,858.0,7132.0,59.7,39.4,-0.02,1.23,0.65,-0.14,35.72
1978,indiana,WHEAT,740000.0,28860000.0,39.0,49.1,860.0,6765.0,59.4,38.7,2.09,2.09,2.09,0.19,39.29
1978,iowa,WHEAT,45000.0,1395000.0,31.0,45.3,811.0,7890.0,55.9,34.7,2.22,2.22,2.15,0.66,34.14
1978,kansas,WHEAT,10000000.0,300000000.0,30.0,52.7,1607.0,5849.0,65.2,40.2,-0.76,-0.76,-0.76,-0.4,23.82
1978,kentucky,WHEAT,180000.0,6480000.0,36.0,53.4,1144.0,5411.0,64.2,42.5,1.83,1.83,1.4,0.62,52.97
1978,louisiana,WHEAT,15000.0,540000.0,36.0,65.1,2585.0,2285.0,76.0,54.2,0.56,0.56,0.56,-0.42,50.77
1978,maryland,WHEAT,80000.0,2960000.0,37.0,52.5,946.0,5401.0,62.6,42.4,2.31,2.31,2.31,0.19,44.74
1978,michigan,WHEAT,410000.0,16400000.0,40.0,42.4,485.0,7741.0,52.8,32.0,0.42,0.42,0.42,0.2,30.96
1978,minnesota,WHEAT,2776000.0,93225000.0,33.6,39.0,423.0,9437.0,50.0,28.1,2.92,2.92,2.92,0.29,25.93
1978,mississippi,WHEAT,65000.0,2015000.0,31.0,62.2,2157.0,3052.0,74.0,50.4,-0.35,0.94,0.22,-0.45,49.39
1978,missouri,WHEAT,840000.0,28560000.0,34.0,52.6,1294.0,5981.0,63.5,41.7,1.56,1.56,1.56,0.16,40.35
